config_id,asset,lookback_years,stress_pctile,stress_tilt_fraction,persistence_days,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg10_lb5_pc90_tf0.25_pd1,SILVER,5,90,0.25,1,6.0,1.68166041351036,0.3188660321520478,1.686659698183187,0.3196772758715409,False,1.6791368845096089,0.31709568446536374,1.6841286627489933,0.31790937005101605,False
cfg10_lb5_pc90_tf0.25_pd1,BTC,5,90,0.25,1,6.0,9.670339555242991,1.0624144921829064,9.855679074865842,1.0673092354078406,False,9.655824946463815,1.060353135580248,9.84088617851966,1.0652491717139174,False
cfg10_lb5_pc90_tf0.25_pd1,OIL,5,90,0.25,1,6.0,1.1798901925957075,0.22738176665176832,1.1798550873762443,0.22782375575083372,False,1.17812007086461,0.22584465645978904,1.1780850183556857,0.2262905906561879,False
cfg11_lb5_pc90_tf0.25_pd3,SP500,5,90,0.25,3,6.0,85.27695101178529,0.1530962320900897,85.27722344483453,0.1530965091120862,False,85.14890785454472,0.15233677335705012,85.14917987853534,0.15233705290993851,False
cfg11_lb5_pc90_tf0.25_pd3,GOLD,5,90,0.25,3,6.0,2.2249591997782647,0.5041703869709682,2.2312322553607693,0.5049170813430391,False,2.2216199068341638,0.5011520254574647,2.227883543414292,0.5019039393179513,False
cfg11_lb5_pc90_tf0.25_pd3,SILVER,5,90,0.25,3,6.0,1.6813971699980814,0.3187585156019229,1.686659698183187,0.3196772758715409,False,1.678874036257858,0.3169880371604392,1.6841286627489933,0.31790937005101605,False
cfg11_lb5_pc90_tf0.25_pd3,BTC,5,90,0.25,3,6.0,9.743711379171305,1.0643756058945493,9.855679074865842,1.0673092354078406,False,9.729086602488332,1.0623157543314496,9.84088617851966,1.0652491717139174,False
cfg11_lb5_pc90_tf0.25_pd3,OIL,5,90,0.25,3,6.0,1.1810163164672214,0.22764011347238278,1.1798550873762443,0.22782375575083372,False,1.1792445038594395,0.22610311962788257,1.1780850183556857,0.2262905906561879,False
cfg12_lb10_pc70_tf0.0_pd1,SP500,10,70,0.0,1,6.0,85.28764008347237,0.1531026659057046,85.27722344483453,0.1530965091120862,True,85.15958212822528,0.152343172116236,85.14917987853534,0.15233705290993851,True
cfg12_lb10_pc70_tf0.0_pd1,GOLD,10,70,0.0,1,6.0,2.215597912794455,0.5093873019204298,2.2312322553607693,0.5049170813430391,False,2.212278625514957,0.5064775279622383,2.227883543414292,0.5019039393179513,False
cfg12_lb10_pc70_tf0.0_pd1,SILVER,10,70,0.0,1,6.0,1.6811937588021135,0.31944139675102096,1.686659698183187,0.3196772758715409,False,1.678676880162246,0.31774024677727397,1.6841286627489933,0.31790937005101605,False
cfg12_lb10_pc70_tf0.0_pd1,BTC,10,70,0.0,1,6.0,9.480216290298303,1.05747233215697,9.855679074865842,1.0673092354078406,False,9.466036025687531,1.0554088985450878,9.84088617851966,1.0652491717139174,False
