config_id,asset,normalization_method,lookback_years,threshold_level,euphoric_tilt_fraction,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg10_zscore_lb10_tl2_tf0.0,SILVER,zscore,10,2,0.0,6.0,1.6888337007393657,0.3199379223672923,1.686659698183187,0.3196772758715409,True,1.6862994010370689,0.3181695158747533,1.6841286627489933,0.31790937005101605,True
cfg10_zscore_lb10_tl2_tf0.0,BTC,zscore,10,2,0.0,6.0,9.663732667199984,1.0706541828425276,9.855679074865842,1.0673092354078406,False,9.649227978673109,1.0687348748335508,9.84088617851966,1.0652491717139174,False
cfg10_zscore_lb10_tl2_tf0.0,OIL,zscore,10,2,0.0,6.0,1.1797948538960998,0.22767774806971003,1.1798550873762443,0.22782375575083372,False,1.1780248753162,0.2261435343773164,1.1780850183556857,0.2262905906561879,False
cfg11_zscore_lb10_tl2_tf0.25,SP500,zscore,10,2,0.25,6.0,85.21577906067671,0.15304197106471776,85.27722344483453,0.1530965091120862,False,85.08782775321252,0.1522824491394876,85.14917987853534,0.15233705290993851,False
cfg11_zscore_lb10_tl2_tf0.25,GOLD,zscore,10,2,0.25,6.0,2.231857977345403,0.5050706161802739,2.2312322553607693,0.5049170813430391,True,2.2285083258764287,0.5020572755877685,2.227883543414292,0.5019039393179513,True
cfg11_zscore_lb10_tl2_tf0.25,SILVER,zscore,10,2,0.25,6.0,1.6882557505358171,0.31986836996692675,1.686659698183187,0.3196772758715409,True,1.685722318626618,0.31810009028151986,1.6841286627489933,0.31790937005101605,True
cfg11_zscore_lb10_tl2_tf0.25,BTC,zscore,10,2,0.25,6.0,9.756928318597623,1.072392406922672,9.855679074865842,1.0673092354078406,False,9.74228369666025,1.070435923970332,9.84088617851966,1.0652491717139174,False
cfg11_zscore_lb10_tl2_tf0.25,OIL,zscore,10,2,0.25,6.0,1.1802652041267359,0.2277765765281493,1.1798550873762443,0.22782375575083372,False,1.1784945193152596,0.22624262349341873,1.1780850183556857,0.2262905906561879,False
cfg12_percentile_lb5_tl0_tf0.0,SP500,percentile,5,0,0.0,6.0,85.46149276317507,0.1532458593924272,85.27722344483453,0.1530965091120862,True,85.33317251621781,0.1524862547057336,85.14917987853534,0.15233705290993851,True
cfg12_percentile_lb5_tl0_tf0.0,GOLD,percentile,5,0,0.0,6.0,2.227332292501543,0.5170271308947771,2.2312322553607693,0.5049170813430391,False,2.223989436355161,0.5147096985299342,2.227883543414292,0.5019039393179513,False
cfg12_percentile_lb5_tl0_tf0.0,SILVER,percentile,5,0,0.0,6.0,1.6919660318032153,0.3258973784187382,1.686659698183187,0.3196772758715409,True,1.6894270289011213,0.3245183695939726,1.6841286627489933,0.31790937005101605,True
