config_id,asset,rv_lookback,elevated_pct,compressed_pct,buy_multiplier,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg11_rv20_ep90.0_cp20.0_bm3.0,BTC,20,90.0,20.0,3.0,9.68376940040126,1.0816179742305485,9.855679074865842,1.0673092354078406,False,9.669255128628917,1.0797019618195884,9.84088617851966,1.0652491717139174,False
cfg11_rv20_ep90.0_cp20.0_bm3.0,OIL,20,90.0,20.0,3.0,1.1594317589708856,0.22064516395505607,1.1798550873762443,0.22782375575083372,False,1.1577130173271437,0.2191748616565745,1.1780850183556857,0.2262905906561879,False
cfg12_rv60_ep80.0_cp10.0_bm1.5,SP500,60,80.0,10.0,1.5,78.26824505564339,0.15611652132804174,85.27722344483453,0.1530965091120862,False,78.1529098733846,0.15537205639883275,85.14917987853534,0.15233705290993851,False
cfg12_rv60_ep80.0_cp10.0_bm1.5,GOLD,60,80.0,10.0,1.5,2.1580185514903154,0.4996972284895236,2.2312322553607693,0.5049170813430391,False,2.1548472540364925,0.4968066911928251,2.227883543414292,0.5019039393179513,False
cfg12_rv60_ep80.0_cp10.0_bm1.5,SILVER,60,80.0,10.0,1.5,1.6152434409131065,0.30601478436568574,1.686659698183187,0.3196772758715409,False,1.6128893677782705,0.304313979119675,1.6841286627489933,0.31790937005101605,False
cfg12_rv60_ep80.0_cp10.0_bm1.5,BTC,60,80.0,10.0,1.5,9.333177687112567,1.0691294512534022,9.855679074865842,1.0673092354078406,False,9.319227164566025,1.0672130344006012,9.84088617851966,1.0652491717139174,False
cfg12_rv60_ep80.0_cp10.0_bm1.5,OIL,60,80.0,10.0,1.5,1.1471687853857377,0.21172007299199372,1.1798550873762443,0.22782375575083372,False,1.1454946824497743,0.2102190431278008,1.1780850183556857,0.2262905906561879,False
cfg13_rv60_ep80.0_cp10.0_bm2.0,SP500,60,80.0,10.0,2.0,78.33114194685052,0.15617235745269953,85.27722344483453,0.1530965091120862,False,78.21565211704629,0.1554279984016219,85.14917987853534,0.15233705290993851,False
cfg13_rv60_ep80.0_cp10.0_bm2.0,GOLD,60,80.0,10.0,2.0,2.1985683559075304,0.5018310806455485,2.2312322553607693,0.5049170813430391,False,2.1952847144014447,0.49897796932815147,2.227883543414292,0.5019039393179513,False
cfg13_rv60_ep80.0_cp10.0_bm2.0,SILVER,60,80.0,10.0,2.0,1.653561855087375,0.3139131442465649,1.686659698183187,0.3196772758715409,False,1.6510936734025192,0.31224592284470476,1.6841286627489933,0.31790937005101605,False
cfg13_rv60_ep80.0_cp10.0_bm2.0,BTC,60,80.0,10.0,2.0,9.583311597542963,1.0759114290735652,9.855679074865842,1.0673092354078406,False,9.568932235071673,1.073999112205549,9.84088617851966,1.0652491717139174,False
cfg13_rv60_ep80.0_cp10.0_bm2.0,OIL,60,80.0,10.0,2.0,1.1571697403964425,0.21882823568305004,1.1798550873762443,0.22782375575083372,False,1.1554408791100985,0.21735917764909418,1.1780850183556857,0.2262905906561879,False
cfg14_rv60_ep80.0_cp10.0_bm3.0,SP500,60,80.0,10.0,3.0,78.4569357292648,0.15628385048541174,85.27722344483453,0.1530965091120862,False,78.34113660436937,0.15553970346691195,85.14917987853534,0.15233705290993851,False
