config_id,asset,strong_season_start_month,weak_season_start_month,mild_tilt_fraction,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg02_ss11_ws5_mt0.5_ml6,OIL,11,5,0.5,6,1.1983709248229073,0.23942567047054747,1.1798550873762443,0.22782375575083372,True,1.1965730542446211,0.23813138095359482,1.1780850183556857,0.2262905906561879,True
cfg03_ss11_ws5_mt0.5_ml12,SP500,11,5,0.5,12,85.31270520790031,0.15544705938825115,85.27722344483453,0.1530965091120862,True,85.1846083656809,0.15470110021079211,85.14917987853534,0.15233705290993851,True
cfg03_ss11_ws5_mt0.5_ml12,GOLD,11,5,0.5,12,2.220067882187876,0.5121900599202519,2.2312322553607693,0.5049170813430391,False,2.2167359335644816,0.5096600313679336,2.227883543414292,0.5019039393179513,False
cfg03_ss11_ws5_mt0.5_ml12,SILVER,11,5,0.5,12,1.6847771918527918,0.32631874917915643,1.686659698183187,0.3196772758715409,False,1.6822489830046874,0.32483268071220406,1.6841286627489933,0.31790937005101605,False
cfg03_ss11_ws5_mt0.5_ml12,BTC,11,5,0.5,12,9.38157864729524,1.0787635130114799,9.855679074865842,1.0673092354078406,False,9.367497613452905,1.0770524962156924,9.84088617851966,1.0652491717139174,False
cfg03_ss11_ws5_mt0.5_ml12,OIL,11,5,0.5,12,1.1943576998893317,0.23774393817193984,1.1798550873762443,0.22782375575083372,True,1.192565855174308,0.23644753117153788,1.1780850183556857,0.2262905906561879,True
cfg04_ss11_ws4_mt0.0_ml6,SP500,11,4,0.0,6,85.87049776330252,0.15942440532982194,85.27722344483453,0.1530965091120862,True,85.74156339472344,0.15871031883795106,85.14917987853534,0.15233705290993851,True
cfg04_ss11_ws4_mt0.0_ml6,GOLD,11,4,0.0,6,2.1921903814784733,0.5168187333467974,2.2312322553607693,0.5049170813430391,False,2.188900290964255,0.5148076729122251,2.227883543414292,0.5019039393179513,False
cfg04_ss11_ws4_mt0.0_ml6,SILVER,11,4,0.0,6,1.6765816727457752,0.3323498077986151,1.686659698183187,0.3196772758715409,False,1.6740657694819114,0.33117276302732296,1.6841286627489933,0.31790937005101605,False
cfg04_ss11_ws4_mt0.0_ml6,BTC,11,4,0.0,6,8.464815708462165,1.0643139875399763,9.855679074865842,1.0673092354078406,False,8.45211119554902,1.062951702519019,9.84088617851966,1.0652491717139174,False
cfg04_ss11_ws4_mt0.0_ml6,OIL,11,4,0.0,6,1.2329337862342646,0.25421548426645085,1.1798550873762443,0.22782375575083372,True,1.2310840194676727,0.2531949879238294,1.1780850183556857,0.2262905906561879,True
cfg05_ss11_ws4_mt0.0_ml12,SP500,11,4,0.0,12,85.39349111801047,0.15764945123581786,85.27722344483453,0.1530965091120862,True,85.26527297562563,0.15693138090632974,85.14917987853534,0.15233705290993851,True
cfg05_ss11_ws4_mt0.0_ml12,GOLD,11,4,0.0,12,2.1978288992078214,0.516995148434055,2.2312322553607693,0.5049170813430391,False,2.194530342450767,0.514957160108152,2.227883543414292,0.5019039393179513,False
cfg05_ss11_ws4_mt0.0_ml12,SILVER,11,4,0.0,12,1.6823563916556594,0.3331839271449338,1.686659698183187,0.3196772758715409,False,1.6798318176426823,0.33199368304068905,1.6841286627489933,0.31790937005101605,False
cfg05_ss11_ws4_mt0.0_ml12,BTC,11,4,0.0,12,8.537962592814525,1.0701668284100394,9.855679074865842,1.0673092354078406,False,8.525148249744689,1.0688074374969725,9.84088617851966,1.0652491717139174,False
cfg05_ss11_ws4_mt0.0_ml12,OIL,11,4,0.0,12,1.2210625681461351,0.25416268580489915,1.1798550873762443,0.22782375575083372,True,1.2192306260313257,0.2531359239146546,1.1780850183556857,0.2262905906561879,True
cfg06_ss11_ws4_mt0.5_ml6,SP500,11,4,0.5,6,85.35768031131805,0.15550666612711336,85.27722344483453,0.1530965091120862,True,85.22951593891328,0.15476720988421228,85.14917987853534,0.15233705290993851,True
