config_id,asset,yoy_window_months,lookback_years,threshold_level,decel_tilt_fraction,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg11_yw6_lb10_tl2_tf0.25,SP500,6,10,2,0.25,6.0,85.12494202599241,0.15297658232881456,85.27722344483453,0.1530965091120862,False,84.99712711047282,0.15221673480846334,85.14917987853534,0.15233705290993851,False
cfg11_yw6_lb10_tl2_tf0.25,GOLD,6,10,2,0.25,6.0,2.150704085489059,0.49493305983918245,2.2312322553607693,0.5049170813430391,False,2.1474762867105595,0.4918717149581204,2.227883543414292,0.5019039393179513,False
cfg11_yw6_lb10_tl2_tf0.25,SILVER,6,10,2,0.25,6.0,1.6114401046194176,0.3071099269785955,1.686659698183187,0.3196772758715409,False,1.6090220115179061,0.30530800789334583,1.6841286627489933,0.31790937005101605,False
cfg11_yw6_lb10_tl2_tf0.25,BTC,6,10,2,0.25,6.0,8.80145735213751,1.13858084038742,9.855679074865842,1.0673092354078406,False,8.788247371290915,1.1373912521166685,9.84088617851966,1.0652491717139174,False
cfg11_yw6_lb10_tl2_tf0.25,OIL,6,10,2,0.25,6.0,1.1912060569569467,0.22591654667443742,1.1798550873762443,0.22782375575083372,False,1.1894189444385175,0.22435804052088665,1.1780850183556857,0.2262905906561879,False
cfg12_yw12_lb5_tl0_tf0.0,SP500,12,5,0,0.0,6.0,85.22390151142949,0.15305364350311138,85.27722344483453,0.1530965091120862,False,85.09593800809351,0.15229410764686566,85.14917987853534,0.15233705290993851,False
cfg12_yw12_lb5_tl0_tf0.0,GOLD,12,5,0,0.0,6.0,2.1801406227273255,0.4963805973592824,2.2312322553607693,0.5049170813430391,False,2.176868624943961,0.493354953628392,2.227883543414292,0.5019039393179513,False
cfg12_yw12_lb5_tl0_tf0.0,SILVER,12,5,0,0.0,6.0,1.6314576891066717,0.31024622205019503,1.686659698183187,0.3196772758715409,False,1.6290095395719937,0.3084606110785772,1.6841286627489933,0.31790937005101605,False
cfg12_yw12_lb5_tl0_tf0.0,BTC,12,5,0,0.0,6.0,9.670415765486258,1.0658260102709776,9.855679074865842,1.0673092354078406,False,9.655901042277279,1.063749429147142,9.84088617851966,1.0652491717139174,False
cfg12_yw12_lb5_tl0_tf0.0,OIL,12,5,0,0.0,6.0,1.1683905505336465,0.2217676651050948,1.1798550873762443,0.22782375575083372,False,1.1666376955323712,0.2202149761855149,1.1780850183556857,0.2262905906561879,False
cfg13_yw12_lb5_tl0_tf0.25,SP500,12,5,0,0.25,6.0,85.24774183679433,0.15307242831698845,85.27722344483453,0.1530965091120862,False,85.11974253717418,0.15231291578890585,85.14917987853534,0.15233705290993851,False
cfg13_yw12_lb5_tl0_tf0.25,GOLD,12,5,0,0.25,6.0,2.194587807856863,0.49883631074027457,2.2312322553607693,0.5049170813430391,False,2.1912941176033347,0.49581325937301407,2.227883543414292,0.5019039393179513,False
cfg13_yw12_lb5_tl0_tf0.25,SILVER,12,5,0,0.25,6.0,1.65179848135168,0.31383279802507247,1.686659698183187,0.3196772758715409,False,1.6493197900869028,0.3120527074121301,1.6841286627489933,0.31790937005101605,False
cfg13_yw12_lb5_tl0_tf0.25,BTC,12,5,0,0.25,6.0,9.70651401318507,1.0659162227674652,9.855679074865842,1.0673092354078406,False,9.69194508840297,1.063844029143913,9.84088617851966,1.0652491717139174,False
cfg13_yw12_lb5_tl0_tf0.25,OIL,12,5,0,0.25,6.0,1.1725454325734217,0.22375217221627208,1.1798550873762443,0.22782375575083372,False,1.1707863390105242,0.22220508515425522,1.1780850183556857,0.2262905906561879,False
cfg14_yw12_lb5_tl1_tf0.0,SP500,12,5,1,0.0,6.0,85.15212051651903,0.1529932694786747,85.27722344483453,0.1530965091120862,False,85.02427110923738,0.1522334255426943,85.14917987853534,0.15233705290993851,False
cfg14_yw12_lb5_tl1_tf0.0,GOLD,12,5,1,0.0,6.0,2.086079087033547,0.48113758064748696,2.2312322553607693,0.5049170813430391,False,2.0829783462629083,0.4780508092708884,2.227883543414292,0.5019039393179513,False
cfg14_yw12_lb5_tl1_tf0.0,SILVER,12,5,1,0.0,6.0,1.5247995673234258,0.2888410431814307,1.686659698183187,0.3196772758715409,False,1.522541588594394,0.2870199279604922,1.6841286627489933,0.31790937005101605,False
cfg14_yw12_lb5_tl1_tf0.0,BTC,12,5,1,0.0,6.0,8.149248954958033,1.0086579136802067,9.855679074865842,1.0673092354078406,False,8.137135745250822,1.006566688313004,9.84088617851966,1.0652491717139174,False
cfg14_yw12_lb5_tl1_tf0.0,OIL,12,5,1,0.0,6.0,1.1385016106931685,0.21186091606273652,1.1798550873762443,0.22782375575083372,False,1.1368236308874649,0.21028233637970786,1.1780850183556857,0.2262905906561879,False
cfg15_yw12_lb5_tl1_tf0.25,SP500,12,5,1,0.25,6.0,85.15451383433006,0.15299812240742475,85.27722344483453,0.1530965091120862,False,85.02665451669553,0.15223838277148,85.14917987853534,0.15233705290993851,False
cfg15_yw12_lb5_tl1_tf0.25,GOLD,12,5,1,0.25,6.0,2.12392748131513,0.48754888496218424,2.2312322553607693,0.5049170813430391,False,2.120739887648002,0.4844797754021286,2.227883543414292,0.5019039393179513,False
cfg15_yw12_lb5_tl1_tf0.25,SILVER,12,5,1,0.25,6.0,1.5671561642310217,0.2973747461233931,1.686659698183187,0.3196772758715409,False,1.5648045635324928,0.29556629971932913,1.6841286627489933,0.31790937005101605,False
cfg15_yw12_lb5_tl1_tf0.25,BTC,12,5,1,0.25,6.0,8.601953244475686,1.0260581146242804,9.855679074865842,1.0673092354078406,False,8.589042819346302,1.0239762128101435,9.84088617851966,1.0652491717139174,False
cfg15_yw12_lb5_tl1_tf0.25,OIL,12,5,1,0.25,6.0,1.1459491403370712,0.21518850117003274,1.1798550873762443,0.22782375575083372,False,1.144229981146901,0.2136181884921788,1.1780850183556857,0.2262905906561879,False
cfg16_yw12_lb5_tl2_tf0.0,SP500,12,5,2,0.0,6.0,85.07766944232418,0.15293004852257205,85.27722344483453,0.1530965091120862,False,84.94995305519582,0.15216982515432184,85.14917987853534,0.15233705290993851,False
cfg16_yw12_lb5_tl2_tf0.0,GOLD,12,5,2,0.0,6.0,2.0465992234187005,0.49050581434511503,2.2312322553607693,0.5049170813430391,False,2.043658685021619,0.4883325056876268,2.227883543414292,0.5019039393179513,False
cfg16_yw12_lb5_tl2_tf0.0,SILVER,12,5,2,0.0,6.0,1.5052311429936622,0.2911070975294971,1.686659698183187,0.3196772758715409,False,1.503103469582206,0.28981327199541973,1.6841286627489933,0.31790937005101605,False
cfg16_yw12_lb5_tl2_tf0.0,BTC,12,5,2,0.0,6.0,6.714364043528522,1.0705742512163259,9.855679074865842,1.0673092354078406,False,6.704775496460689,1.0698261185669191,9.84088617851966,1.0652491717139174,False
cfg16_yw12_lb5_tl2_tf0.0,OIL,12,5,2,0.0,6.0,1.123858375885955,0.19983288064696056,1.1798550873762443,0.22782375575083372,False,1.122303207497566,0.19869044393960544,1.1780850183556857,0.2262905906561879,False
cfg17_yw12_lb5_tl2_tf0.25,SP500,12,5,2,0.25,6.0,85.21411348130644,0.153037304984839,85.27722344483453,0.1530965091120862,False,85.08618102917761,0.1522773552072591,85.14917987853534,0.15233705290993851,False
