asset,signal,cycle_type,cycle_start,cycle_end,n_weeks,d_wealth_over_invested,dca_wealth_over_invested,d_sharpe,dca_sharpe,d_beats_dca_wealth
GOLD,R2c,hold,2020-03-20,2022-03-18,105,1.0616392226701055,1.0616439095794876,0.8053430678862745,0.8051056067267374,False
GOLD,R2c,hike,2022-03-18,2023-07-28,72,1.0580014729201854,1.0580016914091903,-0.1292867233510795,-0.1291439509338716,False
GOLD,R2c,hold,2023-07-28,2024-09-20,61,1.2226511406693505,1.2226511406693505,1.4261168551869523,1.4261168551869523,False
GOLD,R2c,hold,2024-12-20,2025-09-19,40,1.1751568395615253,1.1751568395615253,2.391570444102892,2.391570444102892,False
GOLD,R2c,hold,2025-12-12,2026-09-18,41,0.9744119602757777,0.9744119602757777,0.04929794235568596,0.04929794235568596,False
SILVER,Combo,ease,2001-01-05,2001-12-14,50,1.0027827281338695,1.0027827281338695,-0.4033940295331463,-0.4033940295331463,False
SILVER,Combo,hold,2001-12-14,2002-11-08,48,0.9888699615225217,0.9888699615225217,0.2910802389390819,0.2910802389390819,False
SILVER,Combo,hold,2002-11-08,2003-06-27,34,0.9754111071342447,0.9754111071342447,-0.04138050621999049,-0.04138050621999049,False
SILVER,Combo,hold,2003-06-27,2004-07-02,54,1.0534545143425869,1.0535077389248422,1.0292182477689322,1.0293818913075024,False
SILVER,Combo,hike,2004-07-02,2006-06-30,105,1.3932371661033967,1.3978481448498574,1.0353882477796008,1.0247273700948412,False
SILVER,Combo,hold,2006-06-30,2007-09-21,65,1.0662807012713615,1.0662807012713615,0.560965499556675,0.560965499556675,False
SILVER,Combo,ease,2007-09-21,2008-12-19,66,0.7604399961925717,0.7604399961925717,-0.16232980874537847,-0.16232980874537847,False
SILVER,Combo,hold,2008-12-19,2015-12-18,366,0.6891133154431638,0.6891133154431638,0.27869896577823344,0.27869896577823344,False
SILVER,Combo,hold,2015-12-18,2016-12-16,53,0.9616058912288317,0.9616058912288317,0.6153036902649818,0.6153036902649818,False
SILVER,Combo,hike,2016-12-16,2018-12-21,106,0.8952879562933003,0.8952658377303466,-0.31869067081123226,-0.31879422808777347,True
SILVER,Combo,hold,2018-12-21,2019-08-02,33,1.0622229902741491,1.0622229902741491,0.8843189173993133,0.8843189173993133,False
SILVER,Combo,ease,2019-08-02,2020-03-20,34,0.7178061580730642,0.7178061580730642,-1.0969568686995932,-1.0969568686995932,False
SILVER,Combo,hold,2020-03-20,2022-03-18,105,1.0919003608773465,1.0918715256803857,1.1465644215610817,1.1465067432825828,True
SILVER,Combo,hike,2022-03-18,2023-07-28,72,1.1069077799263742,1.107259915852883,-0.054020009293676036,-0.0527923794772995,False
SILVER,Combo,hold,2023-07-28,2024-09-20,61,1.2252265266011326,1.2252265266011326,0.6967839365054345,0.6967839365054345,False
SILVER,Combo,hold,2024-12-20,2025-09-19,40,1.2418010855681458,1.2418010855681458,1.5788535820573875,1.5788535820573875,False
SILVER,Combo,hold,2025-12-12,2026-09-18,41,0.9343072873456876,0.9343072873456876,0.31061738695266305,0.31061738695266305,False
SILVER,R2c,ease,2001-01-05,2001-12-14,50,1.0027827281338695,1.0027827281338695,-0.4033940295331463,-0.4033940295331463,False
SILVER,R2c,hold,2001-12-14,2002-11-08,48,0.9888699615225217,0.9888699615225217,0.2910802389390819,0.2910802389390819,False
SILVER,R2c,hold,2002-11-08,2003-06-27,34,0.9754111071342447,0.9754111071342447,-0.04138050621999049,-0.04138050621999049,False
SILVER,R2c,hold,2003-06-27,2004-07-02,54,1.0534545143425869,1.0535077389248422,1.0292182477689322,1.0293818913075024,False
SILVER,R2c,hike,2004-07-02,2006-06-30,105,1.3773156863419862,1.3978481448498574,1.0059759134335138,1.0247273700948412,False
SILVER,R2c,hold,2006-06-30,2007-09-21,65,1.0662807012713615,1.0662807012713615,0.560965499556675,0.560965499556675,False
SILVER,R2c,ease,2007-09-21,2008-12-19,66,0.7604399961925717,0.7604399961925717,-0.16232980874537847,-0.16232980874537847,False
SILVER,R2c,hold,2008-12-19,2015-12-18,366,0.6891525287845439,0.6891133154431638,0.2787507353933151,0.27869896577823344,True
SILVER,R2c,hold,2015-12-18,2016-12-16,53,0.9616058912288317,0.9616058912288317,0.6153036902649818,0.6153036902649818,False
SILVER,R2c,hike,2016-12-16,2018-12-21,106,0.8952879562933003,0.8952658377303466,-0.31869067081123226,-0.31879422808777347,True
SILVER,R2c,hold,2018-12-21,2019-08-02,33,1.0622229902741491,1.0622229902741491,0.8843189173993133,0.8843189173993133,False
SILVER,R2c,ease,2019-08-02,2020-03-20,34,0.7178061580730642,0.7178061580730642,-1.0969568686995932,-1.0969568686995932,False
SILVER,R2c,hold,2020-03-20,2022-03-18,105,1.092082875014514,1.0918715256803857,1.1469197802962516,1.1465067432825828,True
SILVER,R2c,hike,2022-03-18,2023-07-28,72,1.106976458955497,1.107259915852883,-0.05378415586881066,-0.0527923794772995,False
SILVER,R2c,hold,2023-07-28,2024-09-20,61,1.2252265266011326,1.2252265266011326,0.6967839365054345,0.6967839365054345,False
SILVER,R2c,hold,2024-12-20,2025-09-19,40,1.2418010855681458,1.2418010855681458,1.5788535820573875,1.5788535820573875,False
SILVER,R2c,hold,2025-12-12,2026-09-18,41,0.9343072873456876,0.9343072873456876,0.31061738695266305,0.31061738695266305,False
