asset,rho,m_max,sweep,total_invested,final_wealth,wealth_over_invested,max_drawdown,longest_weeks_underwater,cagr,annualized_vol,sharpe,sortino,calmar,n_buys,n_sells,total_fees,avg_cash_share,avg_cost_per_unit,dca_wealth_over_invested,dca_sharpe,dca_avg_cost_per_unit,dca_max_drawdown
ENERGY,1,3,True,724500.0,1814872.833113503,2.505000459783993,-0.7390490646525116,605,0.061164190759630754,0.26376661524268236,0.2828384814657927,0.3712406183404524,0.08276066324282425,1449,0,714.9454699286273,0.017792874891329483,24.84540522742136,2.499894555356745,0.28229763271981934,25.030684028971514,-0.7436946399809494
ENERGY,2,2,False,724500.0,1821721.300285093,2.5144531404901214,-0.7333702434127447,604,0.06140302536958964,0.2597613739725539,0.28387452626130993,0.3732592209087853,0.0837271840807859,1449,0,705.3548296648985,0.031154612477555712,24.597963178401642,2.499894555356745,0.28229763271981934,25.030684028971514,-0.7436946399809494
ENERGY,2,2,True,724500.0,1797593.5609901128,2.4811505327675816,-0.7417006049493082,605,0.060722478399641844,0.26380398069910227,0.2812914725188753,0.368695402294079,0.08186925828891826,1449,0,715.5093707232886,0.018833885700586177,25.105825064953706,2.499894555356745,0.28229763271981934,25.030684028971514,-0.7436946399809494
ENERGY,2,3,False,724500.0,1821520.7391423145,2.514176313515962,-0.7361969238662383,605,0.06144533659400642,0.26064182479707293,0.28397553946093895,0.37329117283217766,0.0834631803014306,1449,0,705.1125565980512,0.028433463338649552,24.592262003672367,2.499894555356745,0.28229763271981934,25.030684028971514,-0.7436946399809494
ENERGY,2,3,True,724500.0,1796808.2757305212,2.480066633168421,-0.741699310007425,605,0.06069111988077869,0.26389557668139946,0.28117036657065786,0.36855359467033216,0.08182712193728632,1449,0,715.5079695646181,0.01874743789084306,25.1168313693734,2.499894555356745,0.28229763271981934,25.030684028971514,-0.7436946399809494
ENERGY,3,2,False,724500.0,1824830.7210867489,2.5187449566414752,-0.7281818243341598,510,0.06146674299819477,0.2562492851537254,0.28434751157271226,0.3741727296350166,0.08441125683739659,1449,0,698.9491187542119,0.043589029051946136,24.459535846558357,2.499894555356745,0.28229763271981934,25.030684028971514,-0.7436946399809494
ENERGY,3,2,True,724500.0,1789308.0023098516,2.4697142889024866,-0.7419737448544527,605,0.060521606014819485,0.26343307597529597,0.28059268474094107,0.36761273926245797,0.08156839299844976,1449,0,715.6274094235293,0.020960686066200687,25.2271254772685,2.499894555356745,0.28229763271981934,25.030684028971514,-0.7436946399809494
ENERGY,3,3,False,724500.0,1811857.995847588,2.5008391937164776,-0.7375064641854496,605,0.06127768652464205,0.2588202624510394,0.28350381916288997,0.37247565489914186,0.08308766024487817,1449,0,698.1657480731483,0.035061590183576866,24.610598783128204,2.499894555356745,0.28229763271981934,25.030684028971514,-0.7436946399809494
ENERGY,3,3,True,724500.0,1788500.6860012226,2.468599980678016,-0.7419694186894786,605,0.060488746358088985,0.26357869146156526,0.2804611733674403,0.36747138096998383,0.08152458151837133,1449,0,715.625427936955,0.020834477782213166,25.238529610743363,2.499894555356745,0.28229763271981934,25.030684028971514,-0.7436946399809494
SP500,1,2,False,2576000.0,484247974.50782466,187.98446215365865,-0.8559337570278043,1296,0.06364982792663487,0.1761252216990558,0.18761712007100217,0.2447170496225801,0.0743630303210103,5152,0,2505.043436491054,0.013184545488643071,39.92229460401705,189.61311993786416,0.18638030347419343,40.622940033891304,-0.8595756363809696
