asset,signal,total_invested,final_wealth,wealth_over_invested,max_drawdown,longest_weeks_underwater,cagr,annualized_vol,sharpe,sortino,calmar,n_buys,n_sells,total_fees,avg_cash_share,avg_cost_per_unit,dca_wealth_over_invested,dca_sharpe,smart_wealth_over_invested,smart_sharpe,tight_share,n_switches
SILVER,Control,680500.0,3546156.715938399,5.211104652370903,-0.7459407334328076,754,0.1031369780707847,0.31583535766082754,0.41469509701532953,0.5468740181211114,0.13826430632920383,1361,0,680.0103922276393,0.005857036788247713,12.520806300083217,5.21157916469976,0.4147130459853123,5.132786408002991,0.41208664701851583,0.3923585598824394,81
BTC,R1,314000.0,15786954.285422629,50.27692447586824,-0.8147239545786232,152,0.5525260650243728,0.6560992425187818,0.9647978816556083,1.5044149327759417,0.6781757942911355,628,0,314.02832146616834,0.015382810311879958,1687.0102543390792,52.90213954881496,0.9703668228151499,46.24312563541769,0.9540439344438513,0.40605095541401276,7
BTC,R2a,314000.0,15671695.819481095,49.9098592977105,-0.8147033237857694,152,0.5517772188872334,0.6559623979210083,0.9640034095744741,1.5045434436437586,0.677273803577026,628,0,313.9947839754641,0.015750750490860332,1699.2373759040086,52.90213954881496,0.9703668228151499,46.24312563541769,0.9540439344438513,0.5732484076433121,27
BTC,R2b,314000.0,15636347.158802815,49.7972839452319,-0.8146977164502884,152,0.5505075354169704,0.6553826426450523,0.9631527717510002,1.5008408626599214,0.6757199931964722,628,0,313.8533044466414,0.019673360697893032,1702.3115482886833,52.90213954881496,0.9703668228151499,46.24312563541769,0.9540439344438513,0.5254777070063694,19
BTC,R2b-inv,314000.0,16599597.098706154,52.864958913076926,-0.8168844478078863,152,0.5603981412992349,0.6601175308619238,0.9702973335196695,1.516510576763073,0.6860188644833015,628,0,314.1250765565285,0.010694777356302554,1604.9135470268,52.90213954881496,0.9703668228151499,46.24312563541769,0.9540439344438513,0.17834394904458598,2
BTC,R2c,314000.0,16272493.517591784,51.823227763031156,-0.8147908838497661,152,0.5572251340362853,0.657548476541496,0.9685576796601119,1.5131660724300113,0.6838872956009021,628,0,313.7942175021111,0.01382854673131023,1635.4524437798125,52.90213954881496,0.9703668228151499,46.24312563541769,0.9540439344438513,0.4171974522292994,23
BTC,R3,314000.0,16212620.634188255,51.632549790408454,-0.8155490191737282,152,0.5568442181459854,0.6578078829316056,0.9679655484844012,1.5127577354966064,0.6827844863453467,628,0,313.9548127405698,0.013652179854467757,1642.3324180977188,52.90213954881496,0.9703668228151499,46.24312563541769,0.9540439344438513,0.5254777070063694,41
BTC,R4,314000.0,14793039.33229803,47.1115902302485,-0.8145624837701952,152,0.5428453729677976,0.6537923363757071,0.9563081181416212,1.4884165863163004,0.666425699419942,628,0,313.85242240988623,0.020987712569439317,1799.3525065667316,52.90213954881496,0.9703668228151499,46.24312563541769,0.9540439344438513,0.4554140127388535,9
BTC,Combo,314000.0,16011266.279914511,50.991293885078065,-0.8147551762989699,152,0.5549380989167843,0.6568249632003257,0.9666871983819129,1.5096075392815476,0.6811102464394198,628,0,313.8861052743256,0.014416198899239771,1662.6227693675055,52.90213954881496,0.9703668228151499,46.24312563541769,0.9540439344438513,0.42197452229299365,27
BTC,Control,314000.0,16615446.413449198,52.9154344377363,-0.8168844478078863,152,0.5605230621050303,0.6601374514636519,0.9704003105942445,1.5168483800888524,0.6861717879550736,628,0,313.5102175068017,0.010602890487253169,1600.2441761120092,52.90213954881496,0.9703668228151499,46.24312563541769,0.9540439344438513,0.339171974522293,20
OIL,R1,681000.0,1158226.5774056637,1.7007732414180083,-0.8830482014183569,951,0.04108889444202046,0.3924825556325938,0.2535227521179198,0.35646303194213097,0.04653074925697516,1362,0,681.6630952470341,0.01005791583225775,54.416390919989944,1.6941790783067023,0.2534698851466517,1.713972030322579,0.25081259105838216,0.28267254038179146,9
OIL,R2a,681000.0,1158041.4851616288,1.70050144663969,-0.882429880236505,951,0.04101386312195032,0.39205647697754203,0.2531891078267452,0.35607109906428014,0.046478325406385794,1362,0,677.1774630768919,0.010910113719617979,54.28951901233259,1.6941790783067023,0.2534698851466517,1.713972030322579,0.25081259105838216,0.5154185022026432,75
OIL,R2b,681000.0,1154836.2978473986,1.695794857338324,-0.8825812005572001,951,0.04064712614533428,0.3919499883834332,0.25225221329362196,0.3546882956311294,0.04605482885843537,1362,0,677.6677526179226,0.01104813609023784,54.44983609184808,1.6941790783067023,0.2534698851466517,1.713972030322579,0.25081259105838216,0.5227606461086637,49
OIL,R2b-inv,681000.0,1154293.6428901372,1.6949980071808182,-0.8834397576011899,951,0.04094881177619092,0.39350042642622396,0.25354015994707146,0.357008991889005,0.04635156095688914,1362,0,680.548167316036,0.00611412637397961,54.512573166617905,1.6941790783067023,0.2534698851466517,1.713972030322579,0.25081259105838216,0.13142437591776798,11
OIL,R2c,681000.0,1155752.4680445623,1.6971401880243204,-0.8826551355004355,951,0.04075836317133108,0.39242573859681273,0.2526936765651157,0.3555120684966095,0.04617699657774321,1362,0,677.6469729859155,0.009437867257111699,54.392002930317666,1.6941790783067023,0.2534698851466517,1.713972030322579,0.25081259105838216,0.3443465491923642,53
OIL,R3,681000.0,1159079.9767394052,1.7020263975615348,-0.8826806066603591,951,0.04117710767049143,0.39309142501604427,0.2539466848877176,0.3575292272481818,0.046650064994954284,1362,0,676.500631390707,0.007544392951208109,54.1725873977786,1.6941790783067023,0.2534698851466517,1.713972030322579,0.25081259105838216,0.43392070484581496,79
OIL,R4,681000.0,1157775.2336520886,1.700110475260042,-0.8831702366837567,951,0.0410873824714566,0.3930533241775129,0.25371904221802755,0.35715730411620833,0.046522607720270205,1362,0,680.9840090360962,0.0077090369364172,54.38338179033196,1.6941790783067023,0.2534698851466517,1.713972030322579,0.25081259105838216,0.20998531571218795,9
OIL,Combo,681000.0,1157121.3477309744,1.6991502903538538,-0.8828678762896137,951,0.04093693438804724,0.39253267107981715,0.2531670590135996,0.3560789506420098,0.04636813218314265,1362,0,677.952430773671,0.009663704532292145,54.34013183536807,1.6941790783067023,0.2534698851466517,1.713972030322579,0.25081259105838216,0.31057268722466963,45
OIL,Control,681000.0,1153784.7064041125,1.6942506701969346,-0.8834539982280964,951,0.040935749609328775,0.39349797235594497,0.25350721140886145,0.3569682652905321,0.04633602846490224,1362,0,680.5067647260273,0.006101738842376622,54.533311333009834,1.6941790783067023,0.2534698851466517,1.713972030322579,0.25081259105838216,0.41262848751835535,62
SP500,R1,2576000.0,488467172.1222574,189.62234942634217,-0.8595756363809697,1304,0.06343318790136832,0.17828216264652608,0.18638313322446834,0.24279534658651702,0.07379593512961587,5152,0,2576.697054040295,0.0018053609774366904,40.63984281002984,189.61311993786416,0.18638030347419368,190.02873522086398,0.18880388185447086,0.14363354037267081,27
SP500,R2a,2576000.0,488542941.5144476,189.65176301026693,-0.8595756363809697,1304,0.0634349085697059,0.1782809673277284,0.18639227534429487,0.2428071059923693,0.07379793689451562,5152,0,2575.406632277056,0.0018142829023010607,40.613363552666286,189.61311993786416,0.18638030347419368,190.02873522086398,0.18880388185447086,0.25892857142857145,125
SP500,R2b,2576000.0,488446462.0086028,189.61430978594828,-0.8595756363809697,1304,0.06343273690065243,0.17828162122307178,0.18638081165957385,0.24279115774297177,0.07379541045127833,5152,0,2575.8858350793726,0.0018131457575006197,40.62891097214497,189.61311993786416,0.18638030347419368,190.02873522086398,0.18880388185447086,0.27639751552795033,111
SP500,R2b-inv,2576000.0,488496889.2182256,189.63388556608137,-0.8595756363809697,1304,0.0634338715910785,0.1782819424656434,0.18638679689555865,0.2427994363418232,0.07379673051012835,5152,0,2576.669826578872,0.001809048645086776,40.636941126333866,189.61311993786416,0.18638030347419368,190.02873522086398,0.18880388185447086,0.08171583850931677,26
SP500,R2c,2576000.0,488465175.0229163,189.62157415485882,-0.8595756363809697,1304,0.06343315293226048,0.17828238967265506,0.1863829788514297,0.24279430433574095,0.0737958944477883,5152,0,2574.793378994818,0.0018065664577569867,40.61011510899952,189.61311993786416,0.18638030347419368,190.02873522086398,0.18880388185447086,0.18478260869565216,111
SP500,R3,2576000.0,488441054.2459844,189.61221049921753,-0.8595756363809697,1304,0.06343260087133151,0.17828308061847117,0.18638003423416966,0.24279066846103078,0.07379525219956067,5152,0,2573.222808749503,0.0018006296927787313,40.587426918819645,189.61311993786416,0.18638030347419368,190.02873522086398,0.18880388185447086,0.11471273291925466,79
SP500,R4,2576000.0,488441650.94845086,189.61244213837378,-0.8595756363809697,1304,0.06343261402817646,0.1782830311733702,0.18638010347109,0.24279082050945397,0.07379526750577037,5152,0,2575.7814771098197,0.0018007106558856816,40.6275249553884,189.61311993786416,0.18638030347419368,190.02873522086398,0.18880388185447086,0.05551242236024845,9
SP500,Combo,2576000.0,488436107.3422403,189.6102901173293,-0.8595756363809697,1304,0.06343249057095623,0.17828294978800813,0.18637945661769673,0.24278983558863568,0.07379512387999156,5152,0,2574.518569629613,0.0018019054330334437,40.60819481225739,189.61311993786416,0.18638030347419368,190.02873522086398,0.18880388185447086,0.12150621118012422,65
SP500,Control,2576000.0,488405758.8909727,189.59850888624715,-0.8595743801949023,1304,0.06342759356493666,0.17827782090339875,0.18635404145532572,0.2427527535678347,0.07378953471199887,5152,0,2575.5282433110524,0.0018127286361835635,40.626516078832275,189.61311993786416,0.18638030347419368,190.02873522086398,0.18880388185447086,0.3255046583850932,178
