config_id,asset,ui_window,pctile_lookback,k,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg14_uw126_pl252_k1.0_mn0.25,GOLD,126,252,1.0,0.25,2.2312775983391737,0.504704965630363,2.2312322553607693,0.5049170813430391,False,2.2279288183101484,0.5016902701116354,2.227883543414292,0.5019039393179513,False
cfg14_uw126_pl252_k1.0_mn0.25,SILVER,126,252,1.0,0.25,1.686339237597841,0.31938757743729823,1.686659698183187,0.3196772758715409,False,1.6838086833357004,0.31761899134211347,1.6841286627489933,0.31790937005101605,False
cfg14_uw126_pl252_k1.0_mn0.25,BTC,126,252,1.0,0.25,9.85351807714144,1.06727331916345,9.855679074865842,1.0673092354078406,False,9.838731136230347,1.0652132893425756,9.84088617851966,1.0652491717139174,False
cfg14_uw126_pl252_k1.0_mn0.25,OIL,126,252,1.0,0.25,1.1803380632545937,0.22762132790752027,1.1798550873762443,0.22782375575083372,False,1.178567269045027,0.22608736007697622,1.1780850183556857,0.2262905906561879,False
cfg15_uw126_pl252_k1.0_mn0.5,SP500,126,252,1.0,0.5,85.2807953342926,0.15313418435254683,85.27722344483453,0.1530965091120862,True,85.15274640479646,0.1523747022883312,85.14917987853534,0.15233705290993851,True
cfg15_uw126_pl252_k1.0_mn0.5,GOLD,126,252,1.0,0.5,2.231281987020454,0.5047635785819456,2.2312322553607693,0.5049170813430391,False,2.2279332004018166,0.5017497919248045,2.227883543414292,0.5019039393179513,False
cfg15_uw126_pl252_k1.0_mn0.5,SILVER,126,252,1.0,0.5,1.6868474116655252,0.31961995441278696,1.686659698183187,0.3196772758715409,False,1.6843160943792583,0.31785180144336495,1.6841286627489933,0.31790937005101605,False
cfg15_uw126_pl252_k1.0_mn0.5,BTC,126,252,1.0,0.5,9.855697652709805,1.067334849480089,9.855679074865842,1.0673092354078406,True,9.840904728629214,1.065274783731277,9.84088617851966,1.0652491717139174,True
cfg15_uw126_pl252_k1.0_mn0.5,OIL,126,252,1.0,0.5,1.1803456197115727,0.2277845755602043,1.1798550873762443,0.22782375575083372,False,1.178574814155975,0.2262510735948378,1.1780850183556857,0.2262905906561879,False
cfg16_uw126_pl252_k1.5_mn0.25,SP500,126,252,1.5,0.25,85.2687545206946,0.15304680808529592,85.27722344483453,0.1530965091120862,False,85.14072367049859,0.15228706079689397,85.14917987853534,0.15233705290993851,False
cfg16_uw126_pl252_k1.5_mn0.25,GOLD,126,252,1.5,0.25,2.2313622299065803,0.5046930287774776,2.2312322553607693,0.5049170813430391,False,2.2280133228031236,0.501678348733076,2.227883543414292,0.5019039393179513,False
cfg16_uw126_pl252_k1.5_mn0.25,SILVER,126,252,1.5,0.25,1.6862876115904901,0.3193220875331016,1.686659698183187,0.3196772758715409,False,1.6837571348448732,0.31755340813285654,1.6841286627489933,0.31790937005101605,False
cfg16_uw126_pl252_k1.5_mn0.25,BTC,126,252,1.5,0.25,9.852944189477883,1.0672716222420564,9.855679074865842,1.0673092354078406,False,9.838158110259974,1.0652115889186045,9.84088617851966,1.0652491717139174,False
cfg16_uw126_pl252_k1.5_mn0.25,OIL,126,252,1.5,0.25,1.1802330312668707,0.22754894040203227,1.1798550873762443,0.22782375575083372,False,1.17846239476299,0.22601483861451285,1.1780850183556857,0.2262905906561879,False
cfg17_uw126_pl252_k1.5_mn0.5,SP500,126,252,1.5,0.5,85.27991577633138,0.15313158516450662,85.27722344483453,0.1530965091120862,True,85.1518681674925,0.15237209429548348,85.14917987853534,0.15233705290993851,True
cfg17_uw126_pl252_k1.5_mn0.5,GOLD,126,252,1.5,0.5,2.2313212787771417,0.5047670389584129,2.2312322553607693,0.5049170813430391,False,2.227972433161874,0.501753238953599,2.227883543414292,0.5019039393179513,False
cfg17_uw126_pl252_k1.5_mn0.5,SILVER,126,252,1.5,0.5,1.6868946796127227,0.3196335430173642,1.686659698183187,0.3196772758715409,False,1.6843632913535593,0.3178653904700994,1.6841286627489933,0.31790937005101605,False
