config_id,asset,tilt_strength,power,max_lump_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg04_ts0.3_p2.0_ml8,SILVER,0.3,2.0,8,1.6818362975126155,0.32074754964196095,1.686659698183187,0.3196772758715409,False,1.6793170539993705,0.3190272840857001,1.6841286627489933,0.31790937005101605,False
cfg04_ts0.3_p2.0_ml8,BTC,0.3,2.0,8,9.750489419248387,1.0835069374683526,9.855679074865842,1.0673092354078406,False,9.73586828398257,1.0815513393643676,9.84088617851966,1.0652491717139174,False
cfg04_ts0.3_p2.0_ml8,OIL,0.3,2.0,8,1.1707890562953234,0.22581221273956334,1.1798550873762443,0.22782375575083372,False,1.1690371467051504,0.224306273179989,1.1780850183556857,0.2262905906561879,False
cfg05_ts0.3_p2.0_ml12,SP500,0.3,2.0,12,85.263610830476,0.15347952623878391,85.27722344483453,0.1530965091120862,False,85.1356291746602,0.15277494825150306,85.14917987853534,0.15233705290993851,False
cfg05_ts0.3_p2.0_ml12,GOLD,0.3,2.0,12,2.22401609584722,0.5054676002517678,2.2312322553607693,0.5049170813430391,False,2.220682783375849,0.5025222158058287,2.227883543414292,0.5019039393179513,False
cfg05_ts0.3_p2.0_ml12,SILVER,0.3,2.0,12,1.6818362975126155,0.32074754964196095,1.686659698183187,0.3196772758715409,False,1.6793170539993705,0.3190272840857001,1.6841286627489933,0.31790937005101605,False
cfg05_ts0.3_p2.0_ml12,BTC,0.3,2.0,12,9.750489419248387,1.0835069374683526,9.855679074865842,1.0673092354078406,False,9.73586828398257,1.0815513393643676,9.84088617851966,1.0652491717139174,False
cfg05_ts0.3_p2.0_ml12,OIL,0.3,2.0,12,1.1707890562953234,0.22581221273956334,1.1798550873762443,0.22782375575083372,False,1.1690371467051504,0.224306273179989,1.1780850183556857,0.2262905906561879,False
cfg06_ts0.5_p1.0_ml4,SP500,0.5,1.0,4,85.23765230232931,0.15360718002966145,85.27722344483453,0.1530965091120862,False,85.10975534733552,0.15294899357893063,85.14917987853534,0.15233705290993851,False
cfg06_ts0.5_p1.0_ml4,GOLD,0.5,1.0,4,2.2156785609362837,0.5061540899171552,2.2312322553607693,0.5049170813430391,False,2.2123628208566597,0.5033027134902013,2.227883543414292,0.5019039393179513,False
cfg06_ts0.5_p1.0_ml4,SILVER,0.5,1.0,4,1.6761898359224914,0.3223414277912592,1.686659698183187,0.3196772758715409,False,1.6736841256561141,0.32068413191281475,1.6841286627489933,0.31790937005101605,False
cfg06_ts0.5_p1.0_ml4,BTC,0.5,1.0,4,9.626185708109025,1.0992328625170071,9.855679074865842,1.0673092354078406,False,9.611765766808778,1.097410016060195,9.84088617851966,1.0652491717139174,False
cfg06_ts0.5_p1.0_ml4,OIL,0.5,1.0,4,1.1618642536911659,0.22434068898269038,1.1798550873762443,0.22782375575083372,False,1.1601307965635967,0.2228714241831036,1.1780850183556857,0.2262905906561879,False
cfg07_ts0.5_p1.0_ml8,SP500,0.5,1.0,8,85.23765230232931,0.15360718002966145,85.27722344483453,0.1530965091120862,False,85.10975534733552,0.15294899357893063,85.14917987853534,0.15233705290993851,False
cfg07_ts0.5_p1.0_ml8,GOLD,0.5,1.0,8,2.2156785609362837,0.5061540899171552,2.2312322553607693,0.5049170813430391,False,2.2123628208566597,0.5033027134902013,2.227883543414292,0.5019039393179513,False
cfg07_ts0.5_p1.0_ml8,SILVER,0.5,1.0,8,1.6761898359224914,0.3223414277912592,1.686659698183187,0.3196772758715409,False,1.6736841256561141,0.32068413191281475,1.6841286627489933,0.31790937005101605,False
cfg07_ts0.5_p1.0_ml8,BTC,0.5,1.0,8,9.626185708109025,1.0992328625170071,9.855679074865842,1.0673092354078406,False,9.611765766808778,1.097410016060195,9.84088617851966,1.0652491717139174,False
cfg07_ts0.5_p1.0_ml8,OIL,0.5,1.0,8,1.1618642536911659,0.22434068898269038,1.1798550873762443,0.22782375575083372,False,1.1601307965635967,0.2228714241831036,1.1780850183556857,0.2262905906561879,False
cfg08_ts0.5_p1.0_ml12,SP500,0.5,1.0,12,85.23765230232931,0.15360718002966145,85.27722344483453,0.1530965091120862,False,85.10975534733552,0.15294899357893063,85.14917987853534,0.15233705290993851,False
cfg08_ts0.5_p1.0_ml12,GOLD,0.5,1.0,12,2.2156785609362837,0.5061540899171552,2.2312322553607693,0.5049170813430391,False,2.2123628208566597,0.5033027134902013,2.227883543414292,0.5019039393179513,False
cfg08_ts0.5_p1.0_ml12,SILVER,0.5,1.0,12,1.6761898359224914,0.3223414277912592,1.686659698183187,0.3196772758715409,False,1.6736841256561141,0.32068413191281475,1.6841286627489933,0.31790937005101605,False
cfg08_ts0.5_p1.0_ml12,BTC,0.5,1.0,12,9.626185708109025,1.0992328625170071,9.855679074865842,1.0673092354078406,False,9.611765766808778,1.097410016060195,9.84088617851966,1.0652491717139174,False
cfg08_ts0.5_p1.0_ml12,OIL,0.5,1.0,12,1.1618642536911659,0.22434068898269038,1.1798550873762443,0.22782375575083372,False,1.1601307965635967,0.2228714241831036,1.1780850183556857,0.2262905906561879,False
cfg09_ts0.5_p2.0_ml4,SP500,0.5,2.0,4,85.25453575423727,0.15371741549129908,85.27722344483453,0.1530965091120862,False,85.12659537207645,0.1530497966539553,85.14917987853534,0.15233705290993851,False
cfg09_ts0.5_p2.0_ml4,GOLD,0.5,2.0,4,2.2192053228381896,0.5057684376060065,2.2312322553607693,0.5049170813430391,False,2.215882276683551,0.502868509352695,2.227883543414292,0.5019039393179513,False
cfg09_ts0.5_p2.0_ml4,SILVER,0.5,2.0,4,1.6786206970655704,0.3214490692406743,1.686659698183187,0.3196772758715409,False,1.6761093148329547,0.3197603942670837,1.6841286627489933,0.31790937005101605,False
cfg09_ts0.5_p2.0_ml4,BTC,0.5,2.0,4,9.680362982170074,1.0934477448800397,9.855679074865842,1.0673092354078406,False,9.665856354291186,1.0915579370955504,9.84088617851966,1.0652491717139174,False
cfg09_ts0.5_p2.0_ml4,OIL,0.5,2.0,4,1.1647450355747084,0.22443959056253882,1.1798550873762443,0.22782375575083372,False,1.1630052322714615,0.22295192309573794,1.1780850183556857,0.2262905906561879,False
cfg10_ts0.5_p2.0_ml8,SP500,0.5,2.0,8,85.25453575423727,0.15371741549129908,85.27722344483453,0.1530965091120862,False,85.12659537207645,0.1530497966539553,85.14917987853534,0.15233705290993851,False
