config_id,asset,sortino_window,pctile_lookback,k,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg03_sw40_pl504_k1.0_mn0.5,OIL,40,504,1.0,0.5,1.1805101078642837,0.22789732402973112,1.1798550873762443,0.22782375575083372,True,1.178739055329477,0.22636403743812256,1.1780850183556857,0.2262905906561879,True
cfg04_sw40_pl504_k1.5_mn0.25,SP500,40,504,1.5,0.25,85.25768445329282,0.15303146839251885,85.27722344483453,0.1530965091120862,False,85.12967022481931,0.15227178210878084,85.14917987853534,0.15233705290993851,False
cfg04_sw40_pl504_k1.5_mn0.25,GOLD,40,504,1.5,0.25,2.2312756914326823,0.5049460036821227,2.2312322553607693,0.5049170813430391,True,2.227926914266873,0.5019324109522834,2.227883543414292,0.5019039393179513,True
cfg04_sw40_pl504_k1.5_mn0.25,SILVER,40,504,1.5,0.25,1.68643866392147,0.3196115280534438,1.686659698183187,0.3196772758715409,False,1.6839079603705491,0.31784333668924125,1.6841286627489933,0.31790937005101605,False
cfg04_sw40_pl504_k1.5_mn0.25,BTC,40,504,1.5,0.25,9.849940951446586,1.0671906640485396,9.855679074865842,1.0673092354078406,False,9.835158736231891,1.0651304890466606,9.84088617851966,1.0652491717139174,False
cfg04_sw40_pl504_k1.5_mn0.25,OIL,40,504,1.5,0.25,1.1808500759772642,0.22794088186510864,1.1798550873762443,0.22782375575083372,True,1.1790785129798285,0.22640740725577466,1.1780850183556857,0.2262905906561879,True
cfg05_sw40_pl504_k1.5_mn0.5,SP500,40,504,1.5,0.5,85.2796014920245,0.15310517317647637,85.27722344483453,0.1530965091120862,True,85.15155435508424,0.1523456668666293,85.14917987853534,0.15233705290993851,True
cfg05_sw40_pl504_k1.5_mn0.5,GOLD,40,504,1.5,0.5,2.2313321310371683,0.5049373723288061,2.2312322553607693,0.5049170813430391,True,2.22798326912722,0.501924061354854,2.227883543414292,0.5019039393179513,True
cfg05_sw40_pl504_k1.5_mn0.5,SILVER,40,504,1.5,0.5,1.686722039976064,0.3196663823355734,1.686659698183187,0.3196772758715409,False,1.6841909109355777,0.3178983446868251,1.6841286627489933,0.31790937005101605,False
cfg05_sw40_pl504_k1.5_mn0.5,BTC,40,504,1.5,0.5,9.852521645407911,1.067244593357403,9.855679074865842,1.0673092354078406,False,9.83773349010706,1.0651844415349314,9.84088617851966,1.0652491717139174,False
cfg05_sw40_pl504_k1.5_mn0.5,OIL,40,504,1.5,0.5,1.180570352876492,0.22790532894845963,1.1798550873762443,0.22782375575083372,True,1.1787992098837126,0.22637203952183294,1.1780850183556857,0.2262905906561879,True
cfg06_sw40_pl756_k0.5_mn0.25,SP500,40,756,0.5,0.25,85.2819509746035,0.1531176756210436,85.27722344483453,0.1530965091120862,True,85.15390030991162,0.15235820004915235,85.14917987853534,0.15233705290993851,True
cfg06_sw40_pl756_k0.5_mn0.25,GOLD,40,756,0.5,0.25,2.231300987887762,0.5049347832214657,2.2312322553607693,0.5049170813430391,True,2.2279521727392906,0.5019215536951874,2.227883543414292,0.5019039393179513,True
cfg06_sw40_pl756_k0.5_mn0.25,SILVER,40,756,0.5,0.25,1.686798938330586,0.31969942152044417,1.686659698183187,0.3196772758715409,True,1.6842676938271042,0.3179314719428435,1.6841286627489933,0.31790937005101605,True
cfg06_sw40_pl756_k0.5_mn0.25,BTC,40,756,0.5,0.25,9.853606834209089,1.0672672436092732,9.855679074865842,1.0673092354078406,False,9.83881704933537,1.0652071111019366,9.84088617851966,1.0652491717139174,False
cfg06_sw40_pl756_k0.5_mn0.25,OIL,40,756,0.5,0.25,1.1804397517434073,0.22792419679857967,1.1798550873762443,0.22782375575083372,True,1.1786688048484224,0.22639101040792806,1.1780850183556857,0.2262905906561879,True
cfg07_sw40_pl756_k0.5_mn0.5,SP500,40,756,0.5,0.5,85.2819509746035,0.1531176756210436,85.27722344483453,0.1530965091120862,True,85.15390030991162,0.15235820004915235,85.14917987853534,0.15233705290993851,True
cfg07_sw40_pl756_k0.5_mn0.5,GOLD,40,756,0.5,0.5,2.231300987887762,0.5049347832214657,2.2312322553607693,0.5049170813430391,True,2.2279521727392906,0.5019215536951874,2.227883543414292,0.5019039393179513,True
cfg07_sw40_pl756_k0.5_mn0.5,SILVER,40,756,0.5,0.5,1.686798938330586,0.31969942152044417,1.686659698183187,0.3196772758715409,True,1.6842676938271042,0.3179314719428435,1.6841286627489933,0.31790937005101605,True
cfg07_sw40_pl756_k0.5_mn0.5,BTC,40,756,0.5,0.5,9.853606834209089,1.0672672436092732,9.855679074865842,1.0673092354078406,False,9.83881704933537,1.0652071111019366,9.84088617851966,1.0652491717139174,False
cfg07_sw40_pl756_k0.5_mn0.5,OIL,40,756,0.5,0.5,1.1804397517434073,0.22792419679857967,1.1798550873762443,0.22782375575083372,True,1.1786688048484224,0.22639101040792806,1.1780850183556857,0.2262905906561879,True
cfg08_sw40_pl756_k1.0_mn0.25,SP500,40,756,1.0,0.25,85.26861030272974,0.15305932088185745,85.27722344483453,0.1530965091120862,False,85.14057966907656,0.1522996962532277,85.14917987853534,0.15233705290993851,False
cfg08_sw40_pl756_k1.0_mn0.25,GOLD,40,756,1.0,0.25,2.231238990900443,0.5049374778756885,2.2312322553607693,0.5049170813430391,True,2.227890268840547,0.5019240525336504,2.227883543414292,0.5019039393179513,True
cfg08_sw40_pl756_k1.0_mn0.25,SILVER,40,756,1.0,0.25,1.6867663903653194,0.3196874178708747,1.686659698183187,0.3196772758715409,True,1.6842351947326557,0.3179193586606719,1.6841286627489933,0.31790937005101605,True
cfg08_sw40_pl756_k1.0_mn0.25,BTC,40,756,1.0,0.25,9.851735652950167,1.067227920066936,9.855679074865842,1.0673092354078406,False,9.836948677657885,1.0651677240211714,9.84088617851966,1.0652491717139174,False
cfg08_sw40_pl756_k1.0_mn0.25,OIL,40,756,1.0,0.25,1.1808207695193436,0.22797606787925428,1.1798550873762443,0.22782375575083372,True,1.1790492505255994,0.22644276879717054,1.1780850183556857,0.2262905906561879,True
