config_id,asset,fast_days,slow_days,persistence_days,bull_mult,bear_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg15_f20_s100_pd0_bu1.5_be0.75,SILVER,20,100,0,1.5,0.75,1.6867191373944592,0.3197366329131657,1.686659698183187,0.3196772758715409,True,1.6841880127122015,0.31796873144281923,1.6841286627489933,0.31790937005101605,True
cfg15_f20_s100_pd0_bu1.5_be0.75,BTC,20,100,0,1.5,0.75,9.849552113115736,1.0664214609328135,9.855679074865842,1.0673092354078406,False,9.834768416411816,1.0643603213360324,9.84088617851966,1.0652491717139174,False
cfg15_f20_s100_pd0_bu1.5_be0.75,OIL,20,100,0,1.5,0.75,1.1801143361438067,0.2280809259043488,1.1798550873762443,0.22782375575083372,True,1.1783438778608322,0.22654794151884355,1.1780850183556857,0.2262905906561879,True
cfg16_f20_s100_pd5_bu1.25_be0.5,SP500,20,100,5,1.25,0.5,85.28726624573669,0.1531220585969487,85.27722344483453,0.1530965091120862,True,85.15920760015712,0.1523625467628595,85.14917987853534,0.15233705290993851,True
cfg16_f20_s100_pd5_bu1.25_be0.5,GOLD,20,100,5,1.25,0.5,2.2314938209253206,0.5051546205385182,2.2312322553607693,0.5049170813430391,True,2.2281447162817143,0.5021415259594466,2.227883543414292,0.5019039393179513,True
cfg16_f20_s100_pd5_bu1.25_be0.5,SILVER,20,100,5,1.25,0.5,1.6868775103435965,0.31981257776675387,1.686659698183187,0.3196772758715409,True,1.6843461479080666,0.3180446928384037,1.6841286627489933,0.31790937005101605,True
cfg16_f20_s100_pd5_bu1.25_be0.5,BTC,20,100,5,1.25,0.5,9.837331053111969,1.064915436171847,9.855679074865842,1.0673092354078406,False,9.822565706508254,1.0628527053707695,9.84088617851966,1.0652491717139174,False
cfg16_f20_s100_pd5_bu1.25_be0.5,OIL,20,100,5,1.25,0.5,1.1805211996634501,0.2281732121365742,1.1798550873762443,0.22782375575083372,True,1.1787501304742907,0.22664021363230397,1.1780850183556857,0.2262905906561879,True
cfg17_f20_s100_pd5_bu1.25_be0.75,SP500,20,100,5,1.25,0.75,85.2822452131576,0.15310928899045917,85.27722344483453,0.1530965091120862,True,85.1541941066662,0.15234980493193812,85.14917987853534,0.15233705290993851,True
cfg17_f20_s100_pd5_bu1.25_be0.75,GOLD,20,100,5,1.25,0.75,2.231363046906457,0.5050358883577749,2.2312322553607693,0.5049170813430391,True,2.2280141385762726,0.5020227698217519,2.227883543414292,0.5019039393179513,True
cfg17_f20_s100_pd5_bu1.25_be0.75,SILVER,20,100,5,1.25,0.75,1.686768619765271,0.3197449502345945,1.686659698183187,0.3196772758715409,True,1.6842374207851567,0.31797705475132654,1.6841286627489933,0.31790937005101605,True
cfg17_f20_s100_pd5_bu1.25_be0.75,BTC,20,100,5,1.25,0.75,9.846505046462275,1.0661146047669054,9.855679074865842,1.0673092354078406,False,9.831725924933508,1.0640532089499468,9.84088617851966,1.0652491717139174,False
cfg17_f20_s100_pd5_bu1.25_be0.75,OIL,20,100,5,1.25,0.75,1.1801881349865797,0.2279985670934439,1.1798550873762443,0.22782375575083372,True,1.1784175658945313,0.22646548491018015,1.1780850183556857,0.2262905906561879,True
cfg18_f20_s100_pd5_bu1.5_be0.5,SP500,20,100,5,1.5,0.5,85.28726624573669,0.1531220585969487,85.27722344483453,0.1530965091120862,True,85.15920760015712,0.1523625467628595,85.14917987853534,0.15233705290993851,True
cfg18_f20_s100_pd5_bu1.5_be0.5,GOLD,20,100,5,1.5,0.5,2.2314938209253206,0.5051546205385182,2.2312322553607693,0.5049170813430391,True,2.2281447162817143,0.5021415259594466,2.227883543414292,0.5019039393179513,True
cfg18_f20_s100_pd5_bu1.5_be0.5,SILVER,20,100,5,1.5,0.5,1.6868775103435965,0.31981257776675387,1.686659698183187,0.3196772758715409,True,1.6843461479080666,0.3180446928384037,1.6841286627489933,0.31790937005101605,True
cfg18_f20_s100_pd5_bu1.5_be0.5,BTC,20,100,5,1.5,0.5,9.837331053111969,1.064915436171847,9.855679074865842,1.0673092354078406,False,9.822565706508254,1.0628527053707695,9.84088617851966,1.0652491717139174,False
cfg18_f20_s100_pd5_bu1.5_be0.5,OIL,20,100,5,1.5,0.5,1.1805211996634501,0.2281732121365742,1.1798550873762443,0.22782375575083372,True,1.1787501304742907,0.22664021363230397,1.1780850183556857,0.2262905906561879,True
cfg19_f20_s100_pd5_bu1.5_be0.75,SP500,20,100,5,1.5,0.75,85.2822452131576,0.15310928899045917,85.27722344483453,0.1530965091120862,True,85.1541941066662,0.15234980493193812,85.14917987853534,0.15233705290993851,True
cfg19_f20_s100_pd5_bu1.5_be0.75,GOLD,20,100,5,1.5,0.75,2.231363046906457,0.5050358883577749,2.2312322553607693,0.5049170813430391,True,2.2280141385762726,0.5020227698217519,2.227883543414292,0.5019039393179513,True
cfg19_f20_s100_pd5_bu1.5_be0.75,SILVER,20,100,5,1.5,0.75,1.686768619765271,0.3197449502345945,1.686659698183187,0.3196772758715409,True,1.6842374207851567,0.31797705475132654,1.6841286627489933,0.31790937005101605,True
