config_id,asset,vix_lookback,elevated_pct,buy_multiplier,calm_fraction,max_buy_multiple,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg02_lb252_ep80.0_bm2.0_cf0.75,SP500,252,80.0,2.0,0.75,4.0,67.81275736305717,0.16013459682180634,85.27722344483453,0.1530965091120862,False,67.71633034913766,0.15941902625163437,85.14917987853534,0.15233705290993851,False
cfg02_lb252_ep80.0_bm2.0_cf0.75,GOLD,252,80.0,2.0,0.75,4.0,2.158209870409255,0.49945211005714263,2.2312322553607693,0.5049170813430391,False,2.155031770828057,0.49683130646977913,2.227883543414292,0.5019039393179513,False
cfg02_lb252_ep80.0_bm2.0_cf0.75,SILVER,252,80.0,2.0,0.75,4.0,1.644084285434148,0.3168935419592478,1.686659698183187,0.3196772758715409,False,1.6416781568427854,0.31537076411101095,1.6841286627489933,0.31790937005101605,False
cfg02_lb252_ep80.0_bm2.0_cf0.75,BTC,252,80.0,2.0,0.75,4.0,9.38634104102632,1.096251181650086,9.855679074865842,1.0673092354078406,False,9.372341510456552,1.0945558790552765,9.84088617851966,1.0652491717139174,False
cfg02_lb252_ep80.0_bm2.0_cf0.75,OIL,252,80.0,2.0,0.75,4.0,1.170013943951785,0.2264735584991628,1.1798550873762443,0.22782375575083372,False,1.168319583201661,0.22512486109750257,1.1780850183556857,0.2262905906561879,False
cfg03_lb252_ep80.0_bm2.0_cf0.9,SP500,252,80.0,2.0,0.9,4.0,78.36694251127885,0.15620450279846598,85.27722344483453,0.1530965091120862,False,78.25135628311729,0.15546025974564953,85.14917987853534,0.15233705290993851,False
cfg03_lb252_ep80.0_bm2.0_cf0.9,GOLD,252,80.0,2.0,0.9,4.0,2.211887751692026,0.5032014533417519,2.2312322553607693,0.5049170813430391,False,2.208575736563623,0.5003459610137292,2.227883543414292,0.5019039393179513,False
cfg03_lb252_ep80.0_bm2.0_cf0.9,SILVER,252,80.0,2.0,0.9,4.0,1.670163337543303,0.3187124921571009,1.686659698183187,0.3196772758715409,False,1.667664722436144,0.3170420762356494,1.6841286627489933,0.31790937005101605,False
cfg03_lb252_ep80.0_bm2.0_cf0.9,BTC,252,80.0,2.0,0.9,4.0,9.792808660323782,1.0830098489677291,9.855679074865842,1.0673092354078406,False,9.778126149495039,1.0810965681601623,9.84088617851966,1.0652491717139174,False
cfg03_lb252_ep80.0_bm2.0_cf0.9,OIL,252,80.0,2.0,0.9,4.0,1.1706707775592213,0.22733866279827045,1.1798550873762443,0.22782375575083372,False,1.1689221422426426,0.22588013914466198,1.1780850183556857,0.2262905906561879,False
cfg04_lb252_ep80.0_bm3.0_cf0.75,SP500,252,80.0,3.0,0.75,4.0,67.93859986164941,0.1602676509609959,85.27722344483453,0.1530965091120862,False,67.84185737637321,0.1595524007563055,85.14917987853534,0.15233705290993851,False
cfg04_lb252_ep80.0_bm3.0_cf0.75,GOLD,252,80.0,3.0,0.75,4.0,2.179438363707445,0.5004018705552976,2.2312322553607693,0.5049170813430391,False,2.176186547908979,0.49778343972584205,2.227883543414292,0.5019039393179513,False
