config_id,asset,window,volume_surge_multiple,breakout_buy_mult,normal_buy_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg16_w40_vsm1.5_bbm2.5_nbm0.75,OIL,40,1.5,2.5,0.75,1.1802183411687952,0.22638425081919744,1.1798550873762443,0.22782375575083372,False,1.1784477267221203,0.2248494662887027,1.1780850183556857,0.2262905906561879,False
cfg17_w40_vsm1.5_bbm2.5_nbm1.0,SP500,40,1.5,2.5,1.0,85.27722344483453,0.1530965091120862,85.27722344483453,0.1530965091120862,False,85.14917987853534,0.15233705290993851,85.14917987853534,0.15233705290993851,False
cfg17_w40_vsm1.5_bbm2.5_nbm1.0,GOLD,40,1.5,2.5,1.0,2.2312322553607693,0.5049170813430391,2.2312322553607693,0.5049170813430391,False,2.227883543414292,0.5019039393179513,2.227883543414292,0.5019039393179513,False
cfg17_w40_vsm1.5_bbm2.5_nbm1.0,SILVER,40,1.5,2.5,1.0,1.686659698183187,0.3196772758715409,1.686659698183187,0.3196772758715409,False,1.6841286627489933,0.31790937005101605,1.6841286627489933,0.31790937005101605,False
cfg17_w40_vsm1.5_bbm2.5_nbm1.0,BTC,40,1.5,2.5,1.0,9.855679074865842,1.0673092354078406,9.855679074865842,1.0673092354078406,False,9.84088617851966,1.0652491717139174,9.84088617851966,1.0652491717139174,False
cfg17_w40_vsm1.5_bbm2.5_nbm1.0,OIL,40,1.5,2.5,1.0,1.1798550873762443,0.22782375575083372,1.1798550873762443,0.22782375575083372,False,1.1780850183556857,0.2262905906561879,1.1780850183556857,0.2262905906561879,False
cfg18_w40_vsm2.0_bbm1.5_nbm0.75,SP500,40,2.0,1.5,0.75,85.27628920946718,0.15313798312370971,85.27722344483453,0.1530965091120862,False,85.14824704592444,0.1523784699873958,85.14917987853534,0.15233705290993851,False
cfg18_w40_vsm2.0_bbm1.5_nbm0.75,GOLD,40,2.0,1.5,0.75,2.2313576236188775,0.5055260137757384,2.2312322553607693,0.5049170813430391,True,2.2280087234317776,0.5025141189897792,2.227883543414292,0.5019039393179513,True
cfg18_w40_vsm2.0_bbm1.5_nbm0.75,SILVER,40,2.0,1.5,0.75,1.6867552200368159,0.31951925341485693,1.686659698183187,0.3196772758715409,False,1.6842240411764207,0.31775101258175037,1.6841286627489933,0.31790937005101605,False
cfg18_w40_vsm2.0_bbm1.5_nbm0.75,BTC,40,2.0,1.5,0.75,9.842288933808412,1.0647424787273942,9.855679074865842,1.0673092354078406,False,9.827516142779114,1.0626782894483966,9.84088617851966,1.0652491717139174,False
cfg18_w40_vsm2.0_bbm1.5_nbm0.75,OIL,40,2.0,1.5,0.75,1.1802195644282993,0.22638326211407656,1.1798550873762443,0.22782375575083372,False,1.1784489481448985,0.22484847532017588,1.1780850183556857,0.2262905906561879,False
cfg19_w40_vsm2.0_bbm1.5_nbm1.0,SP500,40,2.0,1.5,1.0,85.27722344483453,0.1530965091120862,85.27722344483453,0.1530965091120862,False,85.14917987853534,0.15233705290993851,85.14917987853534,0.15233705290993851,False
cfg19_w40_vsm2.0_bbm1.5_nbm1.0,GOLD,40,2.0,1.5,1.0,2.2312322553607693,0.5049170813430391,2.2312322553607693,0.5049170813430391,False,2.227883543414292,0.5019039393179513,2.227883543414292,0.5019039393179513,False
