config_id,asset,lookback_days,skip_days,mult_pos,mult_neg,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg08_lb252_sk0_mp1.25_mn0.5,GOLD,252,0,1.25,0.5,2.231155104967861,0.5047847101252024,2.2312322553607693,0.5049170813430391,False,2.227806508862818,0.5017710851578142,2.227883543414292,0.5019039393179513,False
cfg08_lb252_sk0_mp1.25_mn0.5,SILVER,252,0,1.25,0.5,1.6869426708828599,0.31965904499435743,1.686659698183187,0.3196772758715409,False,1.6844112105647315,0.3178909693984243,1.6841286627489933,0.31790937005101605,False
cfg08_lb252_sk0_mp1.25_mn0.5,BTC,252,0,1.25,0.5,9.86094094803244,1.067589164432502,9.855679074865842,1.0673092354078406,True,9.846140150975796,1.065529118374839,9.84088617851966,1.0652491717139174,True
cfg08_lb252_sk0_mp1.25_mn0.5,OIL,252,0,1.25,0.5,1.1803056918797612,0.22760756969243523,1.1798550873762443,0.22782375575083372,False,1.1785349462758647,0.22607377094862172,1.1780850183556857,0.2262905906561879,False
cfg09_lb252_sk21_mp1.25_mn0.5,SP500,252,21,1.25,0.5,85.28467941843525,0.1530991030957529,85.27722344483453,0.1530965091120862,True,85.15662465698067,0.15233956370575696,85.14917987853534,0.15233705290993851,True
cfg09_lb252_sk21_mp1.25_mn0.5,GOLD,252,21,1.25,0.5,2.2313785968293782,0.5049549236988621,2.2312322553607693,0.5049170813430391,True,2.2280296651509737,0.5019417062938251,2.227883543414292,0.5019039393179513,True
cfg09_lb252_sk21_mp1.25_mn0.5,SILVER,252,21,1.25,0.5,1.6868361507370107,0.31965350880335264,1.686659698183187,0.3196772758715409,False,1.6843048503590414,0.31788546990346866,1.6841286627489933,0.31790937005101605,False
cfg09_lb252_sk21_mp1.25_mn0.5,BTC,252,21,1.25,0.5,9.860133710592944,1.0675460304592541,9.855679074865842,1.0673092354078406,True,9.84533412560453,1.065485987356872,9.84088617851966,1.0652491717139174,True
cfg09_lb252_sk21_mp1.25_mn0.5,OIL,252,21,1.25,0.5,1.1804339319519113,0.22769186157007723,1.1798550873762443,0.22782375575083372,False,1.1786629937953523,0.22615817884968428,1.1780850183556857,0.2262905906561879,False
cfg10_lb252_sk0_mp1.25_mn0.75,SP500,252,0,1.25,0.75,85.28095844434561,0.1531000469828798,85.27722344483453,0.1530965091120862,True,85.1529092699393,0.15234054544890424,85.14917987853534,0.15233705290993851,True
cfg10_lb252_sk0_mp1.25_mn0.75,GOLD,252,0,1.25,0.75,2.231193679397069,0.5048509406753324,2.2312322553607693,0.5049170813430391,False,2.2278450253724627,0.5018375569694415,2.227883543414292,0.5019039393179513,False
cfg10_lb252_sk0_mp1.25_mn0.75,SILVER,252,0,1.25,0.75,1.6868011994125598,0.3196681713260416,1.686659698183187,0.3196772758715409,False,1.684269951514057,0.317900180595977,1.6841286627489933,0.31790937005101605,False
cfg10_lb252_sk0_mp1.25_mn0.75,BTC,252,0,1.25,0.75,9.858310042943181,1.0674492567732687,9.855679074865842,1.0673092354078406,True,9.843513196194474,1.0653892017411115,9.84088617851966,1.0652491717139174,True
cfg10_lb252_sk0_mp1.25_mn0.75,OIL,252,0,1.25,0.75,1.1800803868903555,0.22771571759407774,1.1798550873762443,0.22782375575083372,False,1.1783099795822367,0.22618223545829755,1.1780850183556857,0.2262905906561879,False
cfg11_lb252_sk21_mp1.25_mn0.75,SP500,252,21,1.25,0.75,85.28095061802473,0.15309780472234816,85.27722344483453,0.1530965091120862,True,85.15290145536937,0.15233830687752656,85.14917987853534,0.15233705290993851,True
cfg11_lb252_sk21_mp1.25_mn0.75,GOLD,252,21,1.25,0.75,2.2313054276215527,0.5049360033666913,2.2312322553607693,0.5049170813430391,True,2.227956605806819,0.5019228236475853,2.227883543414292,0.5019039393179513,True
cfg11_lb252_sk21_mp1.25_mn0.75,SILVER,252,21,1.25,0.75,1.6867479325379036,0.31966539769125557,1.686659698183187,0.3196772758715409,False,1.6842167646196948,0.31789742531526727,1.6841286627489933,0.31790937005101605,False
cfg11_lb252_sk21_mp1.25_mn0.75,BTC,252,21,1.25,0.75,9.857906417780898,1.0674276773369753,9.855679074865842,1.0673092354078406,True,9.843110177075982,1.0653676238073269,9.84088617851966,1.0652491717139174,True
cfg11_lb252_sk21_mp1.25_mn0.75,OIL,252,21,1.25,0.75,1.18014452078139,0.22775785603271417,1.1798550873762443,0.22782375575083372,False,1.1783740171761368,0.2262244319441114,1.1780850183556857,0.2262905906561879,False
cfg12_lb252_sk0_mp1.5_mn0.5,SP500,252,0,1.5,0.5,85.28469515925448,0.15310359103146928,85.27722344483453,0.1530965091120862,True,85.15664037416516,0.15234404427702417,85.14917987853534,0.15233705290993851,True
cfg12_lb252_sk0_mp1.5_mn0.5,GOLD,252,0,1.5,0.5,2.231155104967861,0.5047847101252024,2.2312322553607693,0.5049170813430391,False,2.227806508862818,0.5017710851578142,2.227883543414292,0.5019039393179513,False
cfg12_lb252_sk0_mp1.5_mn0.5,SILVER,252,0,1.5,0.5,1.6869426708828599,0.31965904499435743,1.686659698183187,0.3196772758715409,False,1.6844112105647315,0.3178909693984243,1.6841286627489933,0.31790937005101605,False
cfg12_lb252_sk0_mp1.5_mn0.5,BTC,252,0,1.5,0.5,9.86094094803244,1.067589164432502,9.855679074865842,1.0673092354078406,True,9.846140150975796,1.065529118374839,9.84088617851966,1.0652491717139174,True
cfg12_lb252_sk0_mp1.5_mn0.5,OIL,252,0,1.5,0.5,1.1803056918797612,0.22760756969243523,1.1798550873762443,0.22782375575083372,False,1.1785349462758647,0.22607377094862172,1.1780850183556857,0.2262905906561879,False
cfg13_lb252_sk21_mp1.5_mn0.5,SP500,252,21,1.5,0.5,85.28467941843525,0.1530991030957529,85.27722344483453,0.1530965091120862,True,85.15662465698067,0.15233956370575696,85.14917987853534,0.15233705290993851,True
cfg13_lb252_sk21_mp1.5_mn0.5,GOLD,252,21,1.5,0.5,2.2313785968293782,0.5049549236988621,2.2312322553607693,0.5049170813430391,True,2.2280296651509737,0.5019417062938251,2.227883543414292,0.5019039393179513,True
cfg13_lb252_sk21_mp1.5_mn0.5,SILVER,252,21,1.5,0.5,1.6868361507370107,0.31965350880335264,1.686659698183187,0.3196772758715409,False,1.6843048503590414,0.31788546990346866,1.6841286627489933,0.31790937005101605,False
cfg13_lb252_sk21_mp1.5_mn0.5,BTC,252,21,1.5,0.5,9.860133710592944,1.0675460304592541,9.855679074865842,1.0673092354078406,True,9.84533412560453,1.065485987356872,9.84088617851966,1.0652491717139174,True
cfg13_lb252_sk21_mp1.5_mn0.5,OIL,252,21,1.5,0.5,1.1804339319519113,0.22769186157007723,1.1798550873762443,0.22782375575083372,False,1.1786629937953523,0.22615817884968428,1.1780850183556857,0.2262905906561879,False
cfg14_lb252_sk0_mp1.5_mn0.75,SP500,252,0,1.5,0.75,85.28095844434561,0.1531000469828798,85.27722344483453,0.1530965091120862,True,85.1529092699393,0.15234054544890424,85.14917987853534,0.15233705290993851,True
cfg14_lb252_sk0_mp1.5_mn0.75,GOLD,252,0,1.5,0.75,2.231193679397069,0.5048509406753324,2.2312322553607693,0.5049170813430391,False,2.2278450253724627,0.5018375569694415,2.227883543414292,0.5019039393179513,False
cfg14_lb252_sk0_mp1.5_mn0.75,SILVER,252,0,1.5,0.75,1.6868011994125598,0.3196681713260416,1.686659698183187,0.3196772758715409,False,1.684269951514057,0.317900180595977,1.6841286627489933,0.31790937005101605,False
