config_id,asset,vvix_lookback,k,min_mult,max_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg08_vl126_k1.5_mn0.25_mx1.5,GOLD,126,1.5,0.25,1.5,2.231253437505868,0.5049337997281494,2.2312322553607693,0.5049170813430391,True,2.227905047786491,0.501920572327346,2.227883543414292,0.5019039393179513,True
cfg08_vl126_k1.5_mn0.25_mx1.5,SILVER,126,1.5,0.25,1.5,1.6868123030808682,0.3197028309599281,1.686659698183187,0.3196772758715409,True,1.6842813925423175,0.31793490121539175,1.6841286627489933,0.31790937005101605,True
cfg08_vl126_k1.5_mn0.25_mx1.5,BTC,126,1.5,0.25,1.5,9.856372746627741,1.067179605972721,9.855679074865842,1.0673092354078406,False,9.841581519426123,1.0651189914558974,9.84088617851966,1.0652491717139174,False
cfg08_vl126_k1.5_mn0.25_mx1.5,OIL,126,1.5,0.25,1.5,1.1802657014843698,0.22787534105053786,1.1798550873762443,0.22782375575083372,True,1.1784953696080502,0.22634208434459438,1.1780850183556857,0.2262905906561879,True
cfg09_vl126_k1.5_mn0.25_mx2.0,SP500,126,1.5,0.25,2.0,85.27722745135283,0.1530965080462813,85.27722344483453,0.1530965091120862,False,85.14918395351665,0.15233705179621854,85.14917987853534,0.15233705290993851,False
cfg09_vl126_k1.5_mn0.25_mx2.0,GOLD,126,1.5,0.25,2.0,2.231253437505868,0.5049337997281494,2.2312322553607693,0.5049170813430391,True,2.227905047786491,0.501920572327346,2.227883543414292,0.5019039393179513,True
cfg09_vl126_k1.5_mn0.25_mx2.0,SILVER,126,1.5,0.25,2.0,1.6868123030808682,0.3197028309599281,1.686659698183187,0.3196772758715409,True,1.6842813925423175,0.31793490121539175,1.6841286627489933,0.31790937005101605,True
cfg09_vl126_k1.5_mn0.25_mx2.0,BTC,126,1.5,0.25,2.0,9.856372746627741,1.067179605972721,9.855679074865842,1.0673092354078406,False,9.841581519426123,1.0651189914558974,9.84088617851966,1.0652491717139174,False
cfg09_vl126_k1.5_mn0.25_mx2.0,OIL,126,1.5,0.25,2.0,1.1802657014843698,0.22787534105053786,1.1798550873762443,0.22782375575083372,True,1.1784953696080502,0.22634208434459438,1.1780850183556857,0.2262905906561879,True
cfg10_vl126_k1.5_mn0.5_mx1.5,SP500,126,1.5,0.5,1.5,85.27727789914273,0.15309654658458002,85.27722344483453,0.1530965091120862,True,85.1492342510897,0.15233709034060813,85.14917987853534,0.15233705290993851,True
cfg10_vl126_k1.5_mn0.5_mx1.5,GOLD,126,1.5,0.5,1.5,2.231266160740155,0.5049302828324504,2.2312322553607693,0.5049170813430391,True,2.227917397928654,0.5019170905716777,2.227883543414292,0.5019039393179513,True
cfg10_vl126_k1.5_mn0.5_mx1.5,SILVER,126,1.5,0.5,1.5,1.6868254212832703,0.3197029382044036,1.686659698183187,0.3196772758715409,True,1.6842941370595452,0.3179350163246276,1.6841286627489933,0.31790937005101605,True
cfg10_vl126_k1.5_mn0.5_mx1.5,BTC,126,1.5,0.5,1.5,9.852423411866935,1.066958333942244,9.855679074865842,1.0673092354078406,False,9.83763540406388,1.0648977651591724,9.84088617851966,1.0652491717139174,False
cfg10_vl126_k1.5_mn0.5_mx1.5,OIL,126,1.5,0.5,1.5,1.180290230131955,0.22788848023300837,1.1798550873762443,0.22782375575083372,True,1.1785195077878023,0.2263552566660769,1.1780850183556857,0.2262905906561879,True
cfg11_vl126_k1.5_mn0.5_mx2.0,SP500,126,1.5,0.5,2.0,85.27727789914273,0.15309654658458002,85.27722344483453,0.1530965091120862,True,85.1492342510897,0.15233709034060813,85.14917987853534,0.15233705290993851,True
cfg11_vl126_k1.5_mn0.5_mx2.0,GOLD,126,1.5,0.5,2.0,2.231266160740155,0.5049302828324504,2.2312322553607693,0.5049170813430391,True,2.227917397928654,0.5019170905716777,2.227883543414292,0.5019039393179513,True
cfg11_vl126_k1.5_mn0.5_mx2.0,SILVER,126,1.5,0.5,2.0,1.6868254212832703,0.3197029382044036,1.686659698183187,0.3196772758715409,True,1.6842941370595452,0.3179350163246276,1.6841286627489933,0.31790937005101605,True
cfg11_vl126_k1.5_mn0.5_mx2.0,BTC,126,1.5,0.5,2.0,9.852423411866935,1.066958333942244,9.855679074865842,1.0673092354078406,False,9.83763540406388,1.0648977651591724,9.84088617851966,1.0652491717139174,False
cfg11_vl126_k1.5_mn0.5_mx2.0,OIL,126,1.5,0.5,2.0,1.180290230131955,0.22788848023300837,1.1798550873762443,0.22782375575083372,True,1.1785195077878023,0.2263552566660769,1.1780850183556857,0.2262905906561879,True
cfg12_vl252_k0.5_mn0.25_mx1.5,SP500,252,0.5,0.25,1.5,85.27726663857655,0.15309653872865528,85.27722344483453,0.1530965091120862,True,85.14922300742204,0.15233708249209535,85.14917987853534,0.15233705290993851,True
