config_id,asset,window_days,mild_tilt_fraction,max_lump_multiple,banking_window_weeks,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg04_wd2_mt0.5_ml3_bw4,SILVER,2,0.5,3,4,1.68525172506455,0.32419389656401965,1.686659698183187,0.3196772758715409,False,1.6827251585433627,0.32263793086409476,1.6841286627489933,0.31790937005101605,False
cfg04_wd2_mt0.5_ml3_bw4,BTC,2,0.5,3,4,9.598698257212044,1.073691627207897,9.855679074865842,1.0673092354078406,False,9.584300167359414,1.0719422048396112,9.84088617851966,1.0652491717139174,False
cfg04_wd2_mt0.5_ml3_bw4,OIL,2,0.5,3,4,1.1848607134933076,0.2313767017848013,1.1798550873762443,0.22782375575083372,True,1.1830854810276452,0.2300223921038449,1.1780850183556857,0.2262905906561879,True
cfg05_wd2_mt0.5_ml3_bw8,SP500,2,0.5,3,8,50.42535681197346,0.16525612327551173,85.27722344483453,0.1530965091120862,False,50.3602635229313,0.16453919895250116,85.14917987853534,0.15233705290993851,False
cfg05_wd2_mt0.5_ml3_bw8,GOLD,2,0.5,3,8,2.22622419075137,0.5095960905879058,2.2312322553607693,0.5049170813430391,False,2.2228853532606787,0.5069517109254124,2.227883543414292,0.5019039393179513,False
cfg05_wd2_mt0.5_ml3_bw8,SILVER,2,0.5,3,8,1.68525172506455,0.32419389656401965,1.686659698183187,0.3196772758715409,False,1.6827251585433627,0.32263793086409476,1.6841286627489933,0.31790937005101605,False
cfg05_wd2_mt0.5_ml3_bw8,BTC,2,0.5,3,8,9.598698257212044,1.073691627207897,9.855679074865842,1.0673092354078406,False,9.584300167359414,1.0719422048396112,9.84088617851966,1.0652491717139174,False
cfg05_wd2_mt0.5_ml3_bw8,OIL,2,0.5,3,8,1.1848607134933076,0.2313767017848013,1.1798550873762443,0.22782375575083372,True,1.1830854810276452,0.2300223921038449,1.1780850183556857,0.2262905906561879,True
cfg06_wd2_mt0.5_ml6_bw4,SP500,2,0.5,6,4,50.83501242240678,0.16589250493212465,85.27722344483453,0.1530965091120862,False,50.76882457187939,0.1651771119464051,85.14917987853534,0.15233705290993851,False
cfg06_wd2_mt0.5_ml6_bw4,GOLD,2,0.5,6,4,2.226113510495855,0.5095587485679514,2.2312322553607693,0.5049170813430391,False,2.2227748391917346,0.5069144505193481,2.227883543414292,0.5019039393179513,False
cfg06_wd2_mt0.5_ml6_bw4,SILVER,2,0.5,6,4,1.6849005668716566,0.32402913779412845,1.686659698183187,0.3196772758715409,False,1.6823745276150228,0.32247300301435633,1.6841286627489933,0.31790937005101605,False
cfg06_wd2_mt0.5_ml6_bw4,BTC,2,0.5,6,4,9.600342835846224,1.0728392423333395,9.855679074865842,1.0673092354078406,False,9.585942276656295,1.0710890945630906,9.84088617851966,1.0652491717139174,False
cfg06_wd2_mt0.5_ml6_bw4,OIL,2,0.5,6,4,1.184903993658583,0.2316211434994116,1.1798550873762443,0.22782375575083372,True,1.1831286962076883,0.23026718060718124,1.1780850183556857,0.2262905906561879,True
cfg07_wd2_mt0.5_ml6_bw8,SP500,2,0.5,6,8,50.83501242240678,0.16589250493212465,85.27722344483453,0.1530965091120862,False,50.76882457187939,0.1651771119464051,85.14917987853534,0.15233705290993851,False
cfg07_wd2_mt0.5_ml6_bw8,GOLD,2,0.5,6,8,2.226113510495855,0.5095587485679514,2.2312322553607693,0.5049170813430391,False,2.2227748391917346,0.5069144505193481,2.227883543414292,0.5019039393179513,False
cfg07_wd2_mt0.5_ml6_bw8,SILVER,2,0.5,6,8,1.6849005668716566,0.32402913779412845,1.686659698183187,0.3196772758715409,False,1.6823745276150228,0.32247300301435633,1.6841286627489933,0.31790937005101605,False
cfg07_wd2_mt0.5_ml6_bw8,BTC,2,0.5,6,8,9.600342835846224,1.0728392423333395,9.855679074865842,1.0673092354078406,False,9.585942276656295,1.0710890945630906,9.84088617851966,1.0652491717139174,False
cfg07_wd2_mt0.5_ml6_bw8,OIL,2,0.5,6,8,1.184903993658583,0.2316211434994116,1.1798550873762443,0.22782375575083372,True,1.1831286962076883,0.23026718060718124,1.1780850183556857,0.2262905906561879,True
cfg08_wd1_mt0.0_ml3_bw4,SP500,1,0.0,3,4,67.52566550734457,0.15991975070402867,85.27722344483453,0.1530965091120862,False,67.42980457660248,0.15932733292472703,85.14917987853534,0.15233705290993851,False
cfg08_wd1_mt0.0_ml3_bw4,GOLD,1,0.0,3,4,2.1403784255244314,0.5009982602167107,2.2312322553607693,0.5049170813430391,False,2.1372997643215252,0.4986046145277854,2.227883543414292,0.5019039393179513,False
cfg08_wd1_mt0.0_ml3_bw4,SILVER,1,0.0,3,4,1.6390412615827024,0.3169190258541715,1.686659698183187,0.3196772758715409,False,1.6367153700213615,0.3155168130042141,1.6841286627489933,0.31790937005101605,False
cfg08_wd1_mt0.0_ml3_bw4,BTC,1,0.0,3,4,9.061168577875856,1.0819679566469977,9.855679074865842,1.0673092354078406,False,9.047706285869982,1.0804637924501646,9.84088617851966,1.0652491717139174,False
cfg08_wd1_mt0.0_ml3_bw4,OIL,1,0.0,3,4,1.1805352886663714,0.20656561473810323,1.1798550873762443,0.22782375575083372,False,1.1788923950530186,0.2053058831407581,1.1780850183556857,0.2262905906561879,False
cfg09_wd1_mt0.0_ml3_bw8,SP500,1,0.0,3,8,41.1696706375238,0.16819093227913057,85.27722344483453,0.1530965091120862,False,41.1217246303786,0.1677398571539273,85.14917987853534,0.15233705290993851,False
cfg09_wd1_mt0.0_ml3_bw8,GOLD,1,0.0,3,8,1.6412125392685815,0.4545684281741358,2.2312322553607693,0.5049170813430391,False,1.6396357883815238,0.4526030759205959,2.227883543414292,0.5019039393179513,False
cfg09_wd1_mt0.0_ml3_bw8,SILVER,1,0.0,3,8,1.3870776704407144,0.26214002376391343,1.686659698183187,0.3196772758715409,False,1.3858825672208621,0.26102250367597263,1.6841286627489933,0.31790937005101605,False
cfg09_wd1_mt0.0_ml3_bw8,BTC,1,0.0,3,8,4.895880154760521,0.9675189257170235,9.855679074865842,1.0673092354078406,False,4.889394396964031,0.9665603005014424,9.84088617851966,1.0652491717139174,False
cfg09_wd1_mt0.0_ml3_bw8,OIL,1,0.0,3,8,1.149022329573539,0.16912079959165657,1.1798550873762443,0.22782375575083372,False,1.1481858250831138,0.16800561946416043,1.1780850183556857,0.2262905906561879,False
cfg10_wd1_mt0.0_ml6_bw4,SP500,1,0.0,6,4,85.2119611880931,0.1524879718449997,85.27722344483453,0.1530965091120862,False,85.0840165517721,0.15185131452112735,85.14917987853534,0.15233705290993851,False
cfg10_wd1_mt0.0_ml6_bw4,GOLD,1,0.0,6,4,2.225234814788585,0.5066191146508551,2.2312322553607693,0.5049170813430391,False,2.2218995696153994,0.5041913546931945,2.227883543414292,0.5019039393179513,False
cfg10_wd1_mt0.0_ml6_bw4,SILVER,1,0.0,6,4,1.6804812128656585,0.32459229504125725,1.686659698183187,0.3196772758715409,False,1.6779639160437085,0.3231706208507566,1.6841286627489933,0.31790937005101605,False
cfg10_wd1_mt0.0_ml6_bw4,BTC,1,0.0,6,4,9.805533207480208,1.0902819625782907,9.855679074865842,1.0673092354078406,False,9.790831875810294,1.0886849761710318,9.84088617851966,1.0652491717139174,False
cfg10_wd1_mt0.0_ml6_bw4,OIL,1,0.0,6,4,1.181361706451204,0.20858974629312033,1.1798550873762443,0.22782375575083372,False,1.1795938324340427,0.2073313327984954,1.1780850183556857,0.2262905906561879,False
cfg11_wd1_mt0.0_ml6_bw8,SP500,1,0.0,6,8,67.54919465028189,0.1618627716395724,85.27722344483453,0.1530965091120862,False,67.4533026359915,0.1613310189005723,85.14917987853534,0.15233705290993851,False
cfg11_wd1_mt0.0_ml6_bw8,GOLD,1,0.0,6,8,2.165382545452798,0.5078091808896554,2.2312322553607693,0.5049170813430391,False,2.162245314939729,0.5055768653433036,2.227883543414292,0.5019039393179513,False
cfg11_wd1_mt0.0_ml6_bw8,SILVER,1,0.0,6,8,1.6606183340082745,0.3236936127338266,1.686659698183187,0.3196772758715409,False,1.6582390147381707,0.32238270780535433,1.6841286627489933,0.31790937005101605,False
cfg11_wd1_mt0.0_ml6_bw8,BTC,1,0.0,6,8,8.734637951625732,1.08316952171069,9.855679074865842,1.0673092354078406,False,8.721666436032754,1.0818084617318293,9.84088617851966,1.0652491717139174,False
