config_id,asset,ac_window,pctile_lookback,k,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg02_aw20_pl252_k1.0_mn0.25,BTC,20,252,1.0,0.25,9.852225079488266,1.067309926552702,9.855679074865842,1.0673092354078406,False,9.83744008001509,1.0652496415390433,9.84088617851966,1.0652491717139174,False
cfg02_aw20_pl252_k1.0_mn0.25,OIL,20,252,1.0,0.25,1.1805873334481554,0.2279204232706227,1.1798550873762443,0.22782375575083372,True,1.1788161649590179,0.22638693702375676,1.1780850183556857,0.2262905906561879,True
cfg03_aw20_pl252_k1.0_mn0.5,SP500,20,252,1.0,0.5,85.27933713398494,0.15305247806163944,85.27722344483453,0.1530965091120862,False,85.15129039397846,0.15229290725848757,85.14917987853534,0.15233705290993851,False
cfg03_aw20_pl252_k1.0_mn0.5,GOLD,20,252,1.0,0.5,2.2312571564641144,0.5048807476254734,2.2312322553607693,0.5049170813430391,False,2.2279084071286013,0.5018673738518244,2.227883543414292,0.5019039393179513,False
cfg03_aw20_pl252_k1.0_mn0.5,SILVER,20,252,1.0,0.5,1.686782711146723,0.31966480805049086,1.686659698183187,0.3196772758715409,False,1.6842514910083801,0.31789676004913625,1.6841286627489933,0.31790937005101605,False
cfg03_aw20_pl252_k1.0_mn0.5,BTC,20,252,1.0,0.5,9.853885373191234,1.0672968434709784,9.855679074865842,1.0673092354078406,False,9.839095170251053,1.0652366402409443,9.84088617851966,1.0652491717139174,False
cfg03_aw20_pl252_k1.0_mn0.5,OIL,20,252,1.0,0.5,1.1802309066673216,0.2278220510709274,1.1798550873762443,0.22782375575083372,False,1.1784602733535299,0.22628864113100133,1.1780850183556857,0.2262905906561879,False
cfg04_aw20_pl252_k1.5_mn0.25,SP500,20,252,1.5,0.25,85.27614841130293,0.15302152075546585,85.27722344483453,0.1530965091120862,False,85.14810645916877,0.1522618278713958,85.14917987853534,0.15233705290993851,False
cfg04_aw20_pl252_k1.5_mn0.25,GOLD,20,252,1.5,0.25,2.2312503847057474,0.5049130964894035,2.2312322553607693,0.5049170813430391,False,2.2279016455380343,0.5018995099783055,2.227883543414292,0.5019039393179513,False
cfg04_aw20_pl252_k1.5_mn0.25,SILVER,20,252,1.5,0.25,1.6864961942165413,0.3195586794642258,1.686659698183187,0.3196772758715409,False,1.683965404327748,0.31779039742312926,1.6841286627489933,0.31790937005101605,False
