config_id,asset,pctile_window_years,low_pctile,high_pctile,max_mult,min_mult,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025,beats_dca_both_fees
cfg10_wy15_lo30_hi70_mx2.0_mn0.3,SP500,15,30,70,2.0,0.3,85.00993742485866,0.15433385768225075,85.27722344483453,0.15456792630709126,False,84.88250303172703,0.15357289199369267,85.14917987853534,0.1538084669523658,False,False
cfg11_wy15_lo30_hi70_mx2.0_mn0.5,SP500,15,30,70,2.0,0.5,85.1546674977167,0.15445623317438734,85.27722344483453,0.15456792630709126,False,85.02689430669767,0.1536958238244957,85.14917987853534,0.1538084669523658,False,False
cfg12_wy15_lo30_hi80_mx1.5_mn0.3,SP500,15,30,80,1.5,0.3,85.32005986326052,0.15455355887248307,85.27722344483453,0.15456792630709126,False,85.19223187569796,0.15379196350527935,85.14917987853534,0.1538084669523658,False,False
cfg13_wy15_lo30_hi80_mx1.5_mn0.5,SP500,15,30,80,1.5,0.5,85.16283213433967,0.15445743433998238,85.27722344483453,0.15456792630709126,False,85.03512467263756,0.15369684183271698,85.14917987853534,0.1538084669523658,False,False
cfg14_wy15_lo30_hi80_mx2.0_mn0.3,SP500,15,30,80,2.0,0.3,85.05530235620449,0.15437285823994704,85.27722344483453,0.15456792630709126,False,84.92774841792536,0.1536120705418661,85.14917987853534,0.1538084669523658,False,False
cfg15_wy15_lo30_hi80_mx2.0_mn0.5,SP500,15,30,80,2.0,0.5,85.1587406051619,0.15446218086150001,85.27722344483453,0.15456792630709126,False,85.03091714735815,0.1537019026824474,85.14917987853534,0.1538084669523658,False,False
cfg16_wy20_lo20_hi70_mx1.5_mn0.3,SP500,20,20,70,1.5,0.3,85.31169584414579,0.1545508796490406,85.27722344483453,0.15456792630709126,False,85.1839196640953,0.15378938739925174,85.14917987853534,0.1538084669523658,False,False
cfg17_wy20_lo20_hi70_mx1.5_mn0.5,SP500,20,20,70,1.5,0.5,85.18154865758693,0.15447274786751272,85.27722344483453,0.15456792630709126,False,85.05384637768141,0.15371217011259455,85.14917987853534,0.1538084669523658,False,False
cfg18_wy20_lo20_hi70_mx2.0_mn0.3,SP500,20,20,70,2.0,0.3,85.04270739261987,0.1543631127410579,85.27722344483453,0.15456792630709126,False,84.91522992589621,0.15360231769321997,85.14917987853534,0.1538084669523658,False,False
cfg19_wy20_lo20_hi70_mx2.0_mn0.5,SP500,20,20,70,2.0,0.5,85.16618181066849,0.15446620718547416,85.27722344483453,0.15456792630709126,False,85.03839897312983,0.153705879294307,85.14917987853534,0.1538084669523658,False,False
