config_id,asset,illiq_lookback,elevated_pct,decay_days,buy_multiplier,calm_fraction,wealth_over_invested_fee0.001,sharpe_fee0.001,dca_wealth_over_invested_fee0.001,dca_sharpe_fee0.001,beats_dca_fee0.001,wealth_over_invested_fee0.0025,sharpe_fee0.0025,dca_wealth_over_invested_fee0.0025,dca_sharpe_fee0.0025,beats_dca_fee0.0025
cfg10_lb126_ep95_dd5_bm2.0_cf0.85,BTC,126,95.0,5,2.0,0.85,9.10484127590267,1.0512178660313412,9.855679074865842,1.0673092354078406,False,9.091245419103954,1.0492358343482442,9.84088617851966,1.0652491717139174,False
cfg10_lb126_ep95_dd5_bm2.0_cf0.85,OIL,126,95.0,5,2.0,0.85,1.1776186726670552,0.22796048820476697,1.1798550873762443,0.22782375575083372,False,1.1758530762521568,0.22647853447352198,1.1780850183556857,0.2262905906561879,False
cfg11_lb126_ep95_dd5_bm2.0_cf0.95,SP500,126,95.0,5,2.0,0.95,84.62605349811454,0.15719881357068116,85.27722344483453,0.1530965091120862,False,84.49898783674622,0.15645785899588172,85.14917987853534,0.15233705290993851,False
cfg11_lb126_ep95_dd5_bm2.0_cf0.95,GOLD,126,95.0,5,2.0,0.95,2.230463735354887,0.5057811723990634,2.2312322553607693,0.5049170813430391,False,2.2271171454470053,0.5028305051978742,2.227883543414292,0.5019039393179513,False
cfg11_lb126_ep95_dd5_bm2.0_cf0.95,SILVER,126,95.0,5,2.0,0.95,1.6857825634687043,0.31999468193200564,1.686659698183187,0.3196772758715409,False,1.6832528450535953,0.3182543229371731,1.6841286627489933,0.31790937005101605,False
cfg11_lb126_ep95_dd5_bm2.0_cf0.95,BTC,126,95.0,5,2.0,0.95,9.742594678161412,1.0657750873918352,9.855679074865842,1.0673092354078406,False,9.72797389458473,1.0637440121279051,9.84088617851966,1.0652491717139174,False
cfg11_lb126_ep95_dd5_bm2.0_cf0.95,OIL,126,95.0,5,2.0,0.95,1.1794470508690063,0.22804475137394553,1.1798550873762443,0.22782375575083372,False,1.1776779660577452,0.22652870089688296,1.1780850183556857,0.2262905906561879,False
cfg12_lb126_ep95_dd10_bm1.5_cf0.85,SP500,126,95.0,10,1.5,0.85,78.80344842443671,0.1612080252857199,85.27722344483453,0.1530965091120862,False,78.68672863093414,0.16048977377434873,85.14917987853534,0.15233705290993851,False
cfg12_lb126_ep95_dd10_bm1.5_cf0.85,GOLD,126,95.0,10,1.5,0.85,2.225927497079099,0.5073006628791976,2.2312322553607693,0.5049170813430391,False,2.2225895906642568,0.5044894406425222,2.227883543414292,0.5019039393179513,False
cfg12_lb126_ep95_dd10_bm1.5_cf0.85,SILVER,126,95.0,10,1.5,0.85,1.6824803053845327,0.31986565370799014,1.686659698183187,0.3196772758715409,False,1.6799562187086068,0.31817853972214205,1.6841286627489933,0.31790937005101605,False
cfg12_lb126_ep95_dd10_bm1.5_cf0.85,BTC,126,95.0,10,1.5,0.85,9.24304231108873,1.0551841228840613,9.855679074865842,1.0673092354078406,False,9.229245020352012,1.0531988125553133,9.84088617851966,1.0652491717139174,False
